date,open,high,low,close,volume
2006-10-18,61.62999,61.96312,61.4426,61.62999,6068361
2006-10-19,61.25521,61.75491,61.088646,61.65081,3416032
2006-10-20,61.75491,61.75491,60.5473,61.13029,3532261
2006-10-23,60.50566,61.29685,60.13088,61.25521,2046449
2006-10-24,60.90126,61.3385,60.69305,60.79715,2949866
2006-10-25,60.75551,61.067825,60.4432,60.85962,2656796
2006-10-26,61.15111,61.35932,60.77633,60.85962,3282560
2006-10-27,60.69305,61.31768,60.52648,60.75551,2314401
2006-10-30,60.75551,61.19275,60.46402,60.9429,2223434
2006-10-31,61.15111,61.38014,60.60976,61.27604,2849247
2006-11-01,61.42178,62.025585,60.52648,60.79715,3875809
2006-11-02,60.79715,61.15111,60.50566,61.088646,2398066
2006-11-03,61.088646,61.3385,60.23499,60.29745,2336830
2006-11-06,60.33909,60.77633,60.026775,60.35991,3558436
2006-11-07,60.38073,60.83879,60.19334,60.21416,2294949
2006-11-08,60.23499,61.42178,60.06842,61.088646,2873597
2006-11-09,61.10947,61.77574,60.77633,61.10947,2387740
2006-11-10,61.40096,61.71327,61.10947,61.71327,3196829
2006-11-13,61.42178,62.10887,60.88044,61.92148,2371506
2006-11-14,61.77574,62.46283,60.79715,62.31708,3629855
2006-11-15,62.31708,63.92029,61.85902,62.25462,7404804
2006-11-16,62.62939,63.50388,62.35872,63.14992,3876914
2006-11-17,62.85843,63.33731,62.46283,62.77514,3377081
2006-11-20,62.42118,63.67044,62.42118,63.48305,3530388
2006-11-21,63.33731,63.33731,62.8376,63.1291,2984927
2006-11-22,63.024994,63.48305,62.98335,63.19156,2003031
2006-11-24,62.75432,63.2332,62.67104,62.77514,596371
2006-11-27,62.60857,63.29567,61.81738,62.48365,3109706
2006-11-28,62.31708,62.90007,61.96312,62.46283,2104276
2006-11-29,62.46283,63.10828,62.15051,62.77514,2037612
2006-11-30,62.62939,63.35813,62.56693,63.066635,2292596
2006-12-01,63.066635,63.50388,62.04641,62.85843,2918984
2006-12-04,62.75432,63.50388,62.56693,63.37895,2541720
2006-12-05,63.25402,63.56634,62.98335,63.17074,2416942
2006-12-06,63.29567,63.60798,63.21238,63.37895,2115178
2006-12-07,63.48305,63.89947,63.27485,63.56634,2387500
2006-12-08,62.65022,63.37895,62.17133,62.44201,3429336
2006-12-11,62.25462,62.40036,62.025585,62.2338,3080024
2006-12-12,61.87984,61.98395,61.21357,61.56753,4707520
2006-12-13,61.9423,62.04641,61.71327,61.8382,3544220
2006-12-14,61.96312,62.50447,61.71327,62.40036,4273582
2006-12-15,62.62939,63.2332,62.37954,63.17074,5554071
2006-12-18,63.024994,63.58716,62.77514,63.0041733,3772884
2006-12-19,62.60857,63.79537,62.54611,63.42059,3023398
2006-12-20,63.54552,64.64902,63.39977,64.6282,3976189
2006-12-21,64.58656,66.27306,64.39918,64.50328,4408926
2006-12-22,64.35754,64.77395,64.2326,64.27425,1756885
2006-12-26,64.1285,64.54492,64.0035782,64.33672,961916
2006-12-27,64.77395,64.85724,64.086861,64.37836,1693391
2006-12-28,64.19096,64.44082,63.87865,63.92029,2278139
2006-12-29,63.75373,64.1285,63.21238,63.29567,1855728
2007-01-03,63.50388,64.75313,63.17074,63.39977,5596481
2007-01-04,63.42059,64.35754,62.77514,64.10768,2953421
2007-01-05,63.83701,63.94111,62.67104,63.19156,2770528
2007-01-08,64.024399,64.33672,60.96372,64.27425,5524294
2007-01-09,64.27425,64.85724,64.1285,64.71149,3338418
2007-01-10,64.48246,65.71089,64.48246,65.50269,3897230
2007-01-11,65.46104,67.29329,65.46104,66.93933,6443032
2007-01-12,67.0017929,67.18918,65.4194,65.83582,5598690
2007-01-16,65.75253,65.98157,64.54492,65.815,2753718
2007-01-17,66.023209,66.10649,65.16955,65.58597,3544796
2007-01-18,65.44022,65.96075,65.023804,65.12791,4329823
2007-01-19,65.12791,65.71089,63.81619,64.0035782,5211003
2007-01-22,64.024399,64.46164,63.5247,63.6288,3793200
2007-01-23,63.60798,64.48246,63.50388,64.2326,3996409
2007-01-24,64.75313,65.065445,64.42,64.54492,5495092
2007-01-25,64.54492,65.12791,63.85783,64.0035782,4976480
2007-01-26,64.25343,64.64902,63.89947,64.42,3459065
2007-01-29,64.27425,64.9197,64.2326,64.46164,3511753
2007-01-30,64.5241,65.77335,64.44082,65.77335,4856456
2007-01-31,65.60679,66.58537,65.39858,66.37717,4687444
2007-02-01,66.37717,68.64664,66.37717,68.41762,7731687
2007-02-02,68.23022,68.7924,67.85545,68.70911,5406624
2007-02-05,68.35516,69.31292,68.25105,69.14635,5372427
2007-02-06,69.12553,69.12553,67.64724,67.85545,6222437
2007-02-07,67.33493,67.33493,65.89828,66.56455,8024036
2007-02-08,66.3147,66.41881,65.79417,66.21059,3222333
2007-02-09,66.21059,66.23141,65.39858,65.54433,3116285
2007-02-12,65.56515,66.37717,65.50269,66.33553,3182421
2007-02-13,66.21059,66.73112,65.93993,66.21059,4180118
2007-02-14,66.48127,66.73112,66.29388,66.54373,3009134
2007-02-15,66.33553,67.0017929,65.93993,66.81441,3178098
2007-02-16,67.085075,67.29329,66.3147,66.73112,3064511
2007-02-20,66.62701,66.83523,65.83582,66.56455,3090062
2007-02-21,66.41881,66.48127,65.96075,66.14813,2587395
2007-02-22,66.18977,66.3147,65.44022,65.815,2511462
2007-02-23,65.60679,65.71089,65.065445,65.37776,2267092
2007-02-26,65.79417,66.87687,65.58597,66.7103,3517468
2007-02-27,65.96075,66.002388,63.56634,64.0035782,5523189
2007-02-28,63.83701,64.83642,63.50388,64.19096,4596046
2007-03-01,63.19156,64.58656,60.69305,64.1285,4782733
2007-03-02,64.1285,64.1285,62.44201,62.60857,5874230
2007-03-05,62.27544,63.31649,61.81738,61.81738,3483320
2007-03-06,62.50447,63.73291,61.56753,63.6288,5182378
2007-03-07,63.54552,64.1285,63.29567,63.85783,3205571
2007-03-08,64.37836,65.21119,64.29507,64.64902,3169789
2007-03-09,65.065445,65.16955,63.48305,63.87865,2603725
2007-03-12,63.71209,64.73231,63.54552,64.6282,2043423
2007-03-13,64.35754,64.64902,62.8376,62.90007,3247596
2007-03-14,63.1291,64.33672,62.90007,64.2326,4384816
2007-03-15,64.2326,64.98216,63.98276,64.17014,2513911
2007-03-16,64.39918,65.065445,63.94111,64.29507,4108460
2007-03-19,64.54492,65.44022,64.31589,64.94052,2658573
2007-03-20,64.9197,65.52351,64.64902,65.33612,3044867
2007-03-21,64.6282,66.41881,64.6282,66.18977,2507091
2007-03-22,66.10649,66.56455,65.73171,66.54373,1991072
2007-03-23,66.3147,66.91851,65.91911,66.79359,2972248
2007-03-26,66.60619,66.83523,65.69007,66.46045,2449073
2007-03-27,66.12731,66.12731,64.89888,65.14873,2921049
2007-03-28,64.69067,65.815,64.54492,64.83642,3632304
2007-03-29,64.96134,65.58597,64.29507,64.83642,2602716
2007-03-30,64.9197,65.89828,64.33672,65.69007,3946939
2007-04-02,65.73171,66.54373,65.56515,66.21059,3238374
2007-04-03,66.33553,67.12672,66.12731,66.96015,3671976
2007-04-04,66.87687,66.96015,66.21059,66.66866,1974502
2007-04-05,66.46045,67.29329,66.12731,66.93933,2649928
2007-04-09,66.96015,67.14754,66.48127,66.60619,2661263
2007-04-10,66.77276,67.43903,66.43963,67.25164,2578366
2007-04-11,67.064255,67.35575,66.66866,67.23082,2887814
2007-04-12,67.25164,68.29269,66.96015,68.1053,3021573
2007-04-13,68.042839,68.23022,67.52232,67.77217,2122911
2007-04-16,68.18858,68.48008,67.39739,67.81381,3249180
2007-04-17,67.54314,67.66806,66.46045,66.93933,4007359
