date,open,high,low,close,volume
2006-10-18,47.84,48.0,46.61,47.21,21532700
2006-10-19,47.21,47.21,46.37,46.87,11986700
2006-10-20,46.88,47.13,46.54,47.12,10979200
2006-10-23,46.83,47.47,46.82,47.39,8838300
2006-10-24,47.07,47.21,46.75,47.14,13431500
2006-10-25,47.3,47.5,46.92,47.27,9021700
2006-10-26,47.35,47.95,47.31,47.77,7644300
2006-10-27,47.57,47.71,47.16,47.29,7112500
2006-10-30,47.34,47.67,47.080002,47.45,10222600
2006-10-31,47.78,48.080002,47.43,47.44,12564200
2006-11-01,47.75,47.82,46.71,46.93,11490200
2006-11-02,46.93,47.080002,46.69,46.9,7059000
2006-11-03,47.15,47.25,46.5,46.89,7984100
2006-11-06,47.18,47.72,47.049999,47.65,8633700
2006-11-07,47.5,48.0,47.47,47.49,8535500
2006-11-08,47.49,47.9,47.2,47.64,7511200
2006-11-09,47.65,47.75,47.18,47.24,6836700
2006-11-10,47.45,47.61,47.31,47.61,5849900
2006-11-13,47.4,47.89,47.36,47.66,7664600
2006-11-14,47.49,47.81,47.060001,47.75,8276800
2006-11-15,47.57,47.67,46.99,47.45,11340700
2006-11-16,47.5,47.98,47.37,47.85,8192500
2006-11-17,47.99,47.99,47.59,47.66,12991600
2006-11-20,47.66,48.049999,47.55,47.9,8614500
2006-11-21,47.78,47.94,47.4,47.75,7423800
2006-11-22,47.6,47.89,47.38,47.59,5916100
2006-11-24,47.22,47.53,47.18,47.27,2926400
2006-11-27,47.14,47.26,46.45,46.63,11109800
2006-11-28,46.46,46.59,45.78,46.2,13415600
2006-11-29,46.21,46.87,46.21,46.67,9414400
2006-11-30,46.72,46.74,46.049999,46.28,13058500
2006-12-01,46.5,46.51,45.51,46.0099983,14731400
2006-12-04,46.28,47.13,46.16,46.84,13148100
2006-12-05,46.9,47.25,46.77,47.2,10747700
2006-12-06,47.07,47.25,46.76,46.83,14162400
2006-12-07,47.080002,47.080002,46.56,46.63,7394600
2006-12-08,46.66,47.14,46.35,46.76,9120100
2006-12-11,46.7,47.84,46.7,47.55,11221600
2006-12-12,47.56,47.97,47.35,47.63,15958400
2006-12-13,47.78,47.9,47.5,47.6,11353700
2006-12-14,47.61,48.040001,47.3,47.95,10052600
2006-12-15,48.2,48.65,48.0,48.3,16172100
2006-12-18,48.3,48.6,48.029999,48.23,8538200
2006-12-19,48.029999,48.48,47.95,48.27,9291400
2006-12-20,48.33,48.37,48.14,48.22,6036400
2006-12-21,48.42,48.97,48.33,48.65,10782200
2006-12-22,48.64,48.8,47.62,47.89,8342000
2006-12-26,47.98,48.37,47.95,48.31,4101200
2006-12-27,48.54,49.0,47.82,48.95,7716200
2006-12-28,48.8,49.0,48.64,48.92,6525200
2006-12-29,48.75,48.91,48.27,48.3,9601100
2007-01-03,48.0,48.37,47.59,48.07,14244700
2007-01-04,48.049999,48.55,47.75,48.19,9471500
2007-01-05,48.17,48.25,47.63,47.79,10760500
2007-01-08,47.57,48.060001,47.32,47.95,8239200
2007-01-09,47.9,48.11,47.36,47.75,9276700
2007-01-10,47.47,48.12,47.44,48.099998,15597000
2007-01-11,48.0,48.42,47.94,48.31,8049200
2007-01-12,48.099998,48.26,47.9,47.99,10646700
2007-01-16,48.16,48.46,48.099998,48.39,8696500
2007-01-17,48.65,48.89,48.12,48.43,16291400
2007-01-18,48.049999,48.58,47.92,48.15,12654200
2007-01-19,48.3,48.83,48.14,48.76,14649200
2007-01-22,48.87,49.86,48.7,49.66,18325500
2007-01-23,49.57,49.86,49.28,49.83,12845300
2007-01-24,49.68,50.4,49.51,50.36,13857500
2007-01-25,50.24,50.68,49.93,50.21,14855900
2007-01-26,50.0,50.25,49.5,49.7,13990300
2007-01-29,49.57,49.65,49.11,49.47,12085000
2007-01-30,49.7,50.25,49.37,50.18,12325700
2007-01-31,50.07,51.16,49.85,50.93,18460500
2007-02-01,50.96,51.24,50.86,51.21,13420400
2007-02-02,51.22,51.33,50.73,50.93,15443400
2007-02-05,50.81,51.15,50.54,50.96,8079900
2007-02-06,50.85,51.32,50.76,51.0,9849200
2007-02-07,50.84,51.22,50.8,51.21,7537400
2007-02-08,51.060001,51.060001,50.52,50.93,10312300
2007-02-09,51.02,51.19,50.080002,50.42,9489000
2007-02-12,50.59,50.65,50.25,50.44,7889000
2007-02-13,50.35,51.02,50.33,50.95,8374100
2007-02-14,51.09,51.55,51.0,51.42,10745900
2007-02-15,51.049999,51.47,50.89,51.21,13339600
2007-02-16,51.16,51.35,51.0099983,51.25,11291900
2007-02-20,51.15,51.75,51.12,51.63,9171500
2007-02-21,51.45,51.85,51.27,51.65,9337100
2007-02-22,51.8,51.95,51.38,51.64,9111600
2007-02-23,51.55,51.75,50.72,51.029999,10042600
2007-02-26,51.17,51.42,50.43,50.81,13342800
2007-02-27,50.61,50.61,47.6,49.22,21228500
2007-02-28,49.07,49.89,48.89,49.39,19180400
2007-03-01,48.98,49.44,48.3,49.2,22648000
2007-03-02,48.95,49.0,48.11,48.19,16922400
2007-03-05,47.6,48.16,47.2,47.54,20199600
2007-03-06,47.97,48.68,47.43,48.52,17751900
2007-03-07,48.69,48.87,48.26,48.36,13664500
2007-03-08,48.79,49.35,48.62,48.74,11979500
2007-03-09,49.12,49.35,48.53,48.82,9452900
2007-03-12,48.64,48.98,48.6,48.84,10445700
2007-03-13,48.45,48.5,46.56,46.7,25294400
2007-03-14,46.72,47.55,45.91,47.3,25043400
2007-03-15,47.14,48.19,47.14,47.7,15828300
2007-03-16,47.62,47.83,46.98,47.029999,24746900
2007-03-19,47.2,47.8,47.16,47.58,14448200
2007-03-20,47.51,47.88,47.33,47.75,14507400
2007-03-21,47.81,49.65,47.81,49.049999,20747600
2007-03-22,49.060001,49.099998,48.36,48.47,18906700
2007-03-23,48.59,48.89,48.43,48.52,11748200
2007-03-26,48.55,48.78,47.94,48.7,11851000
2007-03-27,48.59,48.82,48.35,48.57,11183500
2007-03-28,48.29,48.48,47.79,47.99,13176700
2007-03-29,48.24,48.64,48.02,48.5,10837100
2007-03-30,48.61,49.02,47.95,48.38,12674800
