date,open,high,low,close,volume
2008-05-07,25.2,25.8,24.8,25.5,38943400
2008-05-08,25.58,25.83,24.74,25.4,12468400
2008-05-09,25.1,25.4,24.94,25.24,9747000
2008-05-12,25.11,26.85,25.1,25.57,7921800
2008-05-13,25.38,25.92,25.2,25.9,4518800
2008-05-14,25.5,26.31,24.6,26.17,4295600
2008-05-15,25.75,26.41,25.58,26.030001,3969300
2008-05-16,25.86,26.75,25.67,26.5,11418200
2008-05-19,26.15,26.45,25.97,26.07,5645100
2008-05-20,25.7,25.94,25.0,25.55,8338100
2008-05-21,25.37,25.78,25.26,25.51,1729100
2008-05-22,25.14,26.13,25.12,25.72,7980000
2008-05-23,25.52,25.72,25.26,25.42,2421100
2008-05-27,25.36,25.53,25.12,25.38,1899300
2008-05-28,25.22,25.47,25.049999,25.21,5346300
2008-05-29,25.01,25.14,24.85,24.95,6850900
2008-05-30,24.82,25.47,24.77,25.18,5456400
2008-06-02,24.97,25.07,24.11,24.12,2692600
2008-06-03,23.8,24.25,23.59,24.2,4636400
2008-06-04,23.95,24.19,23.88,23.9,2871200
2008-06-05,24.8,26.38,24.7,25.56,10802100
2008-06-06,25.12,25.37,24.93,24.98,4040900
2008-06-09,24.8,25.3,24.69,24.97,2018400
2008-06-10,24.88,25.1,24.85,24.93,3237600
2008-06-11,24.98,24.98,24.059999,24.33,2352300
2008-06-12,24.77,24.85,24.0,24.18,1885800
2008-06-13,24.15,24.73,24.030001,24.67,2718300
2008-06-16,24.73,24.77,23.5,23.71,2799100
2008-06-17,23.72,23.74,23.22,23.46,3945100
2008-06-18,23.1,24.0,23.059999,23.79,1883200
2008-06-19,23.85,24.01,23.4,23.89,2262100
2008-06-20,23.35,24.0,23.32,24.0,2339500
2008-06-23,24.0,24.0,23.56,23.6,1562800
2008-06-24,23.25,23.25,22.2,22.54,4845600
2008-06-25,22.33,22.88,22.29,22.54,2268100
2008-06-26,22.15,22.56,22.07,22.17,2938500
2008-06-27,22.02,22.08,21.52,21.6,3329000
2008-06-30,21.58,21.58,20.62,20.98,3048100
2008-07-01,20.8,20.84,20.030001,20.6,3516700
2008-07-02,20.91,21.49,20.79,21.34,1593500
2008-07-03,21.21,21.34,20.54,20.94,1530400
2008-07-07,21.049999,21.57,20.94,21.32,1491700
2008-07-08,21.15,21.91,21.13,21.5,3116200
2008-07-09,21.59,21.78,21.51,21.65,1155500
2008-07-10,21.97,22.02,21.46,21.85,1238400
2008-07-11,21.42,21.97,21.23,21.64,1310900
2008-07-14,21.9,22.14,21.4,21.79,1323800
2008-07-15,21.6,21.73,20.46,21.0,1486900
2008-07-16,20.86,21.08,20.75,21.030001,1055600
2008-07-17,20.87,20.91,19.37,20.4,3484300
2008-07-18,20.44,20.48,19.92,20.2,1702100
2008-07-21,20.6,20.88,20.21,20.56,1737700
2008-07-22,20.27,20.84,20.15,20.76,1582300
