date,open,high,low,close,volume
2006-10-18,37.48,37.81,37.42,37.79,3136100
2006-10-19,37.79,37.79,37.5,37.58,1587600
2006-10-20,37.7,37.7,37.33,37.39,1751700
2006-10-23,37.31,37.93,37.29,37.9,2094000
2006-10-24,37.8,37.87,37.49,37.56,1802400
2006-10-25,37.72,37.75,37.46,37.58,2054500
2006-10-26,37.58,37.69,37.43,37.61,1590100
2006-10-27,37.44,37.46,37.23,37.23,1757600
2006-10-30,37.3,37.46,37.25,37.26,1834600
2006-10-31,37.25,37.39,37.099998,37.14,2071500
2006-11-01,37.15,37.41,37.13,37.24,2660200
2006-11-02,36.99,37.11,36.86,36.95,1474400
2006-11-03,36.99,37.080002,36.69,36.73,1071400
2006-11-06,36.86,37.029999,36.73,36.93,1457600
2006-11-07,36.11,37.029999,36.11,37.029999,1702300
2006-11-08,36.77,37.080002,36.77,37.060001,1433900
2006-11-09,37.049999,37.11,36.71,36.71,1072300
2006-11-10,36.82,37.060001,36.79,37.0099983,2003800
2006-11-13,36.89,37.18,36.83,37.0,1520600
2006-11-14,37.12,37.18,36.62,36.87,2153300
2006-11-15,36.85,36.97,36.73,36.77,1134100
2006-11-16,36.89,37.29,36.84,37.21,1050400
2006-11-17,37.02,37.11,36.84,36.89,1045500
2006-11-20,36.94,37.060001,36.8,37.0099983,895400
2006-11-21,37.07,37.080002,36.91,37.0,1309900
2006-11-22,36.9,37.09,36.84,37.0099983,1072400
2006-11-24,36.57,36.75,36.4,36.4,455800
2006-11-27,36.28,36.35,36.049999,36.09,1847200
2006-11-28,36.14,36.14,35.86,36.080002,964800
2006-11-29,36.16,36.42,36.049999,36.36,970700
2006-11-30,36.32,36.32,35.9,36.099998,1021800
2006-12-01,36.07,36.3,35.82,36.13,1459800
2006-12-04,36.23,36.35,36.12,36.31,1386300
2006-12-05,36.28,36.37,36.14,36.3,1145500
2006-12-06,36.19,36.35,35.98,36.23,1648400
2006-12-07,36.22,36.31,36.0,36.12,1134600
2006-12-08,35.99,36.029999,35.73,35.93,1317900
2006-12-11,36.36,36.5,35.91,36.43,1946700
2006-12-12,36.42,36.92,36.35,36.81,2336200
2006-12-13,36.71,36.94,36.67,36.88,2627000
2006-12-14,36.76,37.39,36.74,37.28,2117600
2006-12-15,37.39,37.9,37.31,37.86,3262900
2006-12-18,37.91,37.91,37.5,37.58,1529300
2006-12-19,37.58,37.76,37.52,37.65,1874500
2006-12-20,37.62,37.94,37.6,37.88,1766100
2006-12-21,37.88,37.89,37.59,37.74,1677200
2006-12-22,37.88,37.9,37.55,37.7,1483100
2006-12-26,37.6,38.26,37.54,38.22,1222600
2006-12-27,38.4,38.63,38.33,38.6,1377300
2006-12-28,38.5,38.58,38.33,38.34,626100
2006-12-29,38.26,38.31,37.98,38.029999,857000
2007-01-03,37.79,38.29,37.79,38.029999,1951900
2007-01-04,37.96,38.02,37.72,37.75,1611100
2007-01-05,37.76,37.76,37.2,37.32,1561100
2007-01-08,37.31,37.67,37.13,37.62,1587500
2007-01-09,37.82,37.96,37.48,37.81,1875300
2007-01-10,37.6,37.8,37.53,37.6,1261100
2007-01-11,37.73,37.78,37.45,37.64,1030200
2007-01-12,37.64,37.75,37.52,37.59,900300
2007-01-16,37.55,37.63,37.35,37.53,1061600
2007-01-17,37.59,37.64,37.38,37.49,1113600
2007-01-18,37.029999,37.86,37.0,37.46,1820900
2007-01-19,37.75,38.18,37.44,37.88,1999800
2007-01-22,37.77,37.98,37.41,37.6,1299400
2007-01-23,37.57,37.85,37.39,37.78,1885700
2007-01-24,37.8,38.02,37.71,37.97,1507100
2007-01-25,37.97,38.049999,37.78,37.85,1808900
2007-01-26,37.82,38.099998,37.7,38.0,1101600
2007-01-29,38.0099983,38.099998,37.75,37.75,1662600
2007-01-30,37.76,38.040001,37.62,38.040001,1604200
2007-01-31,37.9,38.3,37.8,38.17,1141400
2007-02-01,38.17,38.42,38.099998,38.38,1627700
2007-02-02,38.4,38.88,38.4,38.77,1949900
2007-02-05,38.76,38.97,38.54,38.77,1497200
2007-02-06,38.79,39.26,38.74,39.099998,1427000
2007-02-07,39.0099983,39.5,38.97,39.38,1405800
2007-02-08,39.23,39.37,38.96,39.31,2294300
2007-02-09,39.17,39.39,38.83,39.049999,1314300
2007-02-12,39.16,39.25,38.87,38.89,1817234
2007-02-13,38.89,39.099998,38.55,38.97,2162438
2007-02-14,39.0,39.49,38.93,39.37,1500168
2007-02-15,39.31,39.62,39.19,39.29,1591200
2007-02-16,39.21,39.6,39.2,39.5,1725100
2007-02-20,39.38,39.85,39.3,39.75,1472700
2007-02-21,39.57,39.83,39.56,39.78,1398500
2007-02-22,39.75,39.9,39.55,39.79,1646900
2007-02-23,39.77,39.78,38.85,39.080002,1918700
2007-02-26,39.099998,39.15,38.83,38.87,1656954
