date,open,high,low,close,volume
2006-10-18,44.61,45.07,44.5,44.67,929500
2006-10-19,44.67,44.9,44.45,44.49,595900
2006-10-20,44.6,44.6,43.8,44.44,757800
2006-10-23,44.44,44.63,44.18,44.58,835800
2006-10-24,44.57,44.57,44.029999,44.18,782300
2006-10-25,44.12,44.63,44.02,44.24,888000
2006-10-26,44.26,44.75,44.0099983,44.68,961900
2006-10-27,44.49,44.78,44.21,44.24,1113900
2006-10-30,43.95,44.23,43.6,43.7,1963600
2006-10-31,44.4,44.5,44.029999,44.43,2559200
2006-11-01,44.68,45.029999,44.5,44.79,1379300
2006-11-02,44.59,44.6,43.080002,43.58,1823800
2006-11-03,43.58,43.72,42.4,42.94,1499500
2006-11-06,43.14,43.62,43.0,43.35,1331800
2006-11-07,43.33,43.34,42.79,42.81,1085100
2006-11-08,42.54,43.0,42.15,42.82,928500
2006-11-09,42.7,43.049999,42.42,42.85,743200
2006-11-10,43.18,43.18,42.67,42.83,722500
2006-11-13,42.91,43.26,42.67,42.96,892900
2006-11-14,43.12,43.79,43.049999,43.7,1292000
2006-11-15,43.55,44.27,43.47,43.99,1451100
2006-11-16,44.24,44.55,44.09,44.45,859300
2006-11-17,44.26,44.37,43.85,44.15,752500
2006-11-20,44.5,45.89,44.5,45.24,1671400
2006-11-21,45.2,46.02,45.2,46.02,1208200
2006-11-22,46.02,46.74,46.02,46.36,866800
2006-11-24,45.96,46.51,45.91,46.36,254600
2006-11-27,46.23,46.35,44.88,44.89,875200
2006-11-28,44.67,45.060001,44.34,44.95,901800
2006-11-29,45.24,46.0099983,45.16,45.83,771500
2006-11-30,45.76,46.46,45.59,46.38,1042200
2006-12-01,46.34,46.5,45.58,46.19,817300
2006-12-04,46.19,47.13,46.029999,46.88,696400
2006-12-05,47.0,47.12,46.39,46.48,767900
2006-12-06,46.4,46.54,45.68,46.24,788300
2006-12-07,46.45,46.48,45.88,46.02,583600
2006-12-08,45.95,46.37,45.85,46.099998,724800
2006-12-11,45.9,46.45,45.74,46.0,1129400
2006-12-12,46.0,46.26,45.67,45.94,732200
2006-12-13,46.14,46.3,45.19,45.66,841700
2006-12-14,45.76,46.44,45.76,46.16,1469600
2006-12-15,46.2,46.36,45.76,46.0099983,2062500
2006-12-18,45.98,46.38,45.59,45.77,829200
2006-12-19,45.7,45.74,44.79,45.21,1166000
2006-12-20,45.39,45.76,45.26,45.51,671200
2006-12-21,45.52,45.78,44.84,44.9,789300
2006-12-22,44.47,44.85,44.2,44.35,1572300
2006-12-26,44.39,45.2,44.39,44.96,627300
2006-12-27,45.35,45.48,45.0099983,45.38,962400
2006-12-28,44.92,45.099998,44.79,45.060001,820800
2006-12-29,45.060001,45.34,44.89,44.95,678000
2007-01-03,45.02,45.38,44.57,45.11,1305400
2007-01-04,45.2,45.23,44.61,44.75,1155000
2007-01-05,44.56,44.56,44.0099983,44.080002,1634300
2007-01-08,43.9,44.02,43.59,43.92,826900
2007-01-09,44.13,44.78,43.89,44.61,925400
2007-01-10,44.62,45.97,44.35,45.94,1705300
2007-01-11,45.94,47.27,45.94,46.78,1205800
2007-01-12,47.7,48.099998,46.78,46.94,1300900
