date,open,high,low,close,volume
2006-10-18,21.96,22.07,21.86,21.98,20174200
2006-10-19,22.35,22.57,22.3,22.45,35325000
2006-10-20,22.61,23.56,22.55,23.38,53629000
2006-10-23,23.38,23.75,23.35,23.64,30265600
2006-10-24,23.52,23.62,23.45,23.52,19233000
2006-10-25,23.57,23.64,23.5,23.59,14119400
2006-10-26,23.58,23.6,23.45,23.57,18013600
2006-10-27,23.48,23.51,23.38,23.43,13495800
2006-10-30,23.48,23.59,23.33,23.38,10974000
2006-10-31,23.41,23.47,23.25,23.36,12162200
2006-11-01,23.37,23.45,23.25,23.32,10464600
2006-11-02,23.25,23.41,23.2,23.36,15476800
2006-11-03,23.4,23.41,23.2,23.25,11944600
2006-11-06,23.35,23.45,23.16,23.41,18737400
2006-11-07,23.34,23.5,23.29,23.46,16346000
2006-11-08,23.33,23.5,23.26,23.44,14765000
2006-11-09,23.35,23.5,23.27,23.32,16079600
2006-11-10,23.32,23.38,23.14,23.23,9880800
2006-11-13,23.2,23.3,23.09,23.2,13673200
2006-11-14,23.16,23.3,23.08,23.27,16383000
2006-11-15,23.23,23.38,23.18,23.32,19823800
2006-11-16,23.4,23.59,23.38,23.57,14747000
2006-11-17,23.57,23.68,23.52,23.63,18904800
2006-11-20,23.55,23.68,23.48,23.52,12338400
2006-11-21,23.43,23.58,23.41,23.5,12111800
2006-11-22,23.5,23.59,23.44,23.55,7258600
2006-11-24,23.45,23.59,23.43,23.46,4566800
2006-11-27,23.43,23.48,23.2,23.27,18962400
2006-11-28,23.18,23.48,23.18,23.34,14541000
2006-11-29,23.3,23.41,23.18,23.32,15077800
2006-11-30,23.23,23.5,23.2,23.41,21071200
2006-12-01,23.32,23.36,23.11,23.29,15461000
2006-12-04,23.36,23.63,23.27,23.41,14030800
2006-12-05,23.5,24.0,23.43,24.0,26343600
2006-12-06,24.02,24.27,23.96,24.19,29686800
2006-12-07,24.29,24.49,24.25,24.36,24194400
2006-12-08,24.39,24.49,24.32,24.45,16320400
2006-12-11,24.43,24.58,24.29,24.41,18181400
2006-12-12,24.38,24.58,24.35,24.45,16230000
2006-12-13,24.57,24.57,24.33,24.42,12960800
2006-12-14,24.45,24.59,24.36,24.5,15830200
2006-12-15,24.5,24.68,24.19,24.46,23760200
2006-12-18,24.43,24.55,24.41,24.45,10438400
2006-12-19,24.34,24.43,24.2,24.39,15461400
2006-12-20,24.36,24.41,24.32,24.38,13948800
2006-12-21,24.38,24.43,24.32,24.33,14383200
2006-12-22,24.36,24.4,24.12,24.19,7878000
2006-12-26,24.2,24.3,24.16,24.27,5260400
2006-12-27,24.34,24.39,24.14,24.34,9621200
2006-12-28,24.32,24.41,24.25,24.27,7907600
2006-12-29,24.21,24.32,24.09,24.12,12339600
2007-01-03,24.18,24.44,24.14,24.29,15754600
2007-01-04,24.21,24.35,24.12,24.3,11816800
2007-01-05,24.25,24.29,24.09,24.13,11607800
2007-01-08,24.0,24.34,24.0,24.29,17583000
2007-01-09,24.27,24.41,24.23,24.3,13724400
2007-01-10,24.25,24.39,24.18,24.34,8928000
2007-01-11,24.38,24.43,24.3,24.37,11010200
2007-01-12,24.3,24.34,24.12,24.27,13667400
2007-01-16,24.24,24.34,24.17,24.25,12685200
2007-01-17,24.27,24.43,24.24,24.3,14400200
2007-01-18,24.21,24.5,24.1,24.18,15223200
2007-01-19,24.2,24.21,24.040001,24.13,13008200
2007-01-22,24.049999,24.18,24.0,24.02,12198800
2007-01-23,24.07,24.11,23.97,24.059999,12149000
2007-01-24,24.09,24.1,23.97,24.07,8646000
2007-01-25,24.040001,24.11,23.95,23.97,11598200
2007-01-26,24.0,24.049999,23.9,23.91,14459000
2007-01-29,23.88,23.96,23.78,23.86,10077800
2007-01-30,23.91,23.98,23.82,23.91,8986000
2007-01-31,23.9,23.98,23.75,23.94,10676600
