date,open,high,low,close,volume
2006-10-18,38.2,38.4,37.97,38.19,793100
2006-10-19,38.18,38.58,38.18,38.57,1140600
2006-10-20,38.73,38.75,38.060001,38.14,1135600
2006-10-23,37.95,38.58,37.78,38.56,813400
2006-10-24,38.5,38.87,38.42,38.8,1229000
2006-10-25,38.71,39.37,38.6,39.26,1674800
2006-10-26,39.28,39.51,39.099998,39.42,880900
2006-10-27,39.4,39.4,38.64,38.65,1006900
2006-10-30,38.75,39.18,38.65,39.080002,874600
2006-10-31,39.18,39.55,38.45,38.92,1695600
2006-11-01,38.95,39.099998,38.44,38.94,1159400
2006-11-02,38.79,38.91,38.5,38.76,1529100
2006-11-03,38.77,39.0,38.63,38.82,1396000
2006-11-06,38.84,39.23,38.71,39.029999,1808700
2006-11-07,39.029999,39.38,39.0,39.2,884200
2006-11-08,39.080002,39.76,39.060001,39.73,1245600
2006-11-09,39.89,40.029999,39.79,39.89,1613400
2006-11-10,39.93,40.02,39.68,40.0,1057300
2006-11-13,39.87,39.9,39.48,39.53,1134400
2006-11-14,39.5,39.83,39.18,39.73,1034200
2006-11-15,39.74,39.92,39.58,39.69,1226200
2006-11-16,39.69,39.83,39.34,39.53,1640800
2006-11-17,39.34,39.62,39.31,39.41,1711200
2006-11-20,38.83,39.68,38.83,39.43,2461100
2006-11-21,39.39,39.89,39.31,39.7,2960000
2006-11-22,39.78,40.2,39.7,40.12,1671900
2006-11-24,40.029999,40.23,40.02,40.060001,369300
2006-11-27,40.17,40.21,39.87,39.99,1970600
2006-11-28,39.86,40.14,39.83,39.91,2915600
2006-11-29,40.02,40.3,39.95,40.3,1168300
2006-11-30,40.26,40.35,39.8,39.92,1484000
2006-12-01,39.91,40.37,39.55,40.3,1767600
2006-12-04,40.42,40.42,40.0,40.39,1338800
2006-12-05,40.3,40.45,40.15,40.41,1728500
2006-12-06,40.45,40.69,40.28,40.6,1000700
2006-12-07,40.73,40.8,40.46,40.63,1352200
2006-12-08,40.74,40.96,40.53,40.59,1312800
2006-12-11,40.68,41.28,40.67,41.22,792200
2006-12-12,41.23,41.26,40.82,41.09,1304200
