date,open,high,low,close,volume
2006-10-18,45.037037,45.037037,43.4321,43.62963,1484487
2006-10-19,43.62963,43.92593,42.49383,42.64198,1481774
2006-10-20,42.96296,44.19753,42.59259,44.074074,1440342
2006-10-23,44.69136,44.69136,43.58025,43.92593,1152306
2006-10-24,43.95062,44.64198,43.75309,44.19753,880349
2006-10-25,44.39506,44.66667,43.48148,44.61728,1214960
2006-10-26,45.012344,49.20988,44.61728,47.67901,4729712
2006-10-27,48.39506,49.62963,47.85185,49.55556,3889418
2006-10-30,50.049381,52.098766,49.67901,50.19753,1939059
2006-10-31,51.45679,51.80247,48.8395,49.38272,1322082
2006-11-01,49.87654,50.44444,48.76543,48.76543,854186
2006-11-02,48.76543,50.37037,48.14815,48.17284,821745
2006-11-03,48.49383,49.30864,48.39506,49.012344,787037
2006-11-06,49.1358,50.049381,48.81482,49.35802,842360
2006-11-07,49.38272,49.75309,48.79012,49.28395,706928
2006-11-08,48.17284,48.44444,46.41975,47.35802,1550948
2006-11-09,47.60494,49.87654,47.1605,49.87654,992372
2006-11-10,49.38272,49.65432,48.17284,49.35802,765653
2006-11-13,49.28395,49.28395,48.69136,49.086418,332870
2006-11-14,49.18518,49.53086,48.64198,49.23457,520020
2006-11-15,49.23457,49.67901,49.012344,49.4321,591746
2006-11-16,49.28395,49.58025,49.012344,49.58025,374018
2006-11-17,49.38272,49.38272,48.49383,48.81482,485960
2006-11-20,49.012344,49.11111,47.72839,48.14815,427032
2006-11-21,47.90123,48.024693,46.91358,47.55556,1593351
2006-11-22,46.76543,48.098766,46.41975,47.72839,1469462
2006-11-24,46.96296,47.40741,46.8642,47.33333,141143
2006-11-27,46.91358,47.1605,45.55556,46.66667,826565
2006-11-28,45.92593,46.76543,44.64198,46.66667,782298
2006-11-29,47.28395,47.38272,46.66667,47.012344,458663
2006-11-30,46.91358,47.086418,46.32099,46.8395,246686
2006-12-01,46.74074,46.79012,46.19753,46.46914,371588
2006-12-04,45.97531,46.41975,45.85185,46.32099,306950
2006-12-05,46.39506,47.086418,46.12346,46.8642,370008
2006-12-06,46.8642,47.18518,46.24691,47.1605,580284
2006-12-07,47.40741,47.53086,46.66667,47.4321,364865
2006-12-08,47.061729,48.024693,47.037037,47.77778,545292
2006-12-11,47.77778,48.14815,46.69136,46.81482,499608
2006-12-12,46.91358,48.93827,46.2963,48.69136,946283
2006-12-13,47.1605,47.1605,44.74074,45.037037,2291693
2006-12-14,44.49383,45.28395,43.58025,44.34568,1634742
2006-12-15,45.012344,46.54321,44.44444,46.17284,3829397
2006-12-18,45.95062,46.049381,44.76543,44.88889,769095
2006-12-19,44.51852,44.79012,43.85185,44.19753,914936
2006-12-20,44.19753,44.8642,43.95062,44.32099,428207
2006-12-21,44.19753,44.51852,43.82716,44.074074,466439
2006-12-22,44.19753,44.2963,43.90123,44.074074,537881
2006-12-26,44.074074,44.2963,43.58025,43.62963,322340
2006-12-27,43.62963,43.75309,42.98766,43.23457,464495
2006-12-28,44.19753,44.19753,43.23457,43.82716,520506
2006-12-29,43.90123,44.19753,43.62963,43.92593,476847
2007-01-03,44.12346,44.93827,43.92593,44.88889,714542
2007-01-04,45.061729,45.25926,44.19753,44.66667,398115
2007-01-05,43.7037,44.64198,43.25926,43.33333,457083
2007-01-08,43.33333,43.62963,42.79012,43.60494,504995
2007-01-09,43.33333,43.77778,42.98766,43.65432,802103
2007-01-10,43.87654,44.37037,43.45679,43.90123,438332
2007-01-11,43.90123,45.67901,43.80247,44.2963,859451
2007-01-12,44.24691,45.38272,43.72839,43.82716,569268
2007-01-16,43.82716,43.90123,43.23457,43.62963,504387
2007-01-17,43.48148,44.64198,43.45679,44.41975,591948
2007-01-18,43.95062,43.95062,42.93827,42.98766,824540
2007-01-19,42.91358,43.65432,41.92593,43.65432,955071
2007-01-22,43.85185,44.76543,43.65432,44.61728,954342
2007-01-23,44.49383,45.40741,43.95062,45.061729,533102
2007-01-24,44.5679,45.45679,44.024693,45.1358,741353
2007-01-25,45.23457,45.40741,44.79012,45.28395,788454
2007-01-26,45.061729,45.87654,44.88889,45.53086,707373
2007-01-29,45.50617,45.85185,45.23457,45.7037,503537
2007-01-30,45.85185,46.51852,45.30864,46.098766,483125
2007-01-31,46.54321,46.71605,45.58025,45.80247,1063814
2007-02-01,45.67901,45.90123,44.12346,44.81482,1678563
2007-02-02,44.8395,45.60494,44.74074,45.53086,768285
2007-02-05,45.4321,46.024693,45.1358,45.82716,507992
2007-02-06,45.90123,45.92593,45.58025,45.67901,357858
2007-02-07,45.67901,45.80247,44.96296,45.11111,495477
2007-02-08,45.061729,46.17284,45.061729,46.12346,589194
2007-02-09,46.2963,46.41975,45.25926,45.62963,311405
2007-02-12,45.62963,45.67901,44.32099,44.41975,686597
2007-02-13,44.81482,45.18518,43.97531,44.41975,553473
2007-02-14,44.69136,45.012344,44.34568,44.81482,416057
2007-02-15,45.18518,45.30864,44.81482,44.8642,313065
2007-02-16,44.88889,45.25926,44.74074,45.25926,187313
2007-02-20,45.25926,45.92593,44.5679,45.7037,267179
2007-02-21,45.60494,46.24691,45.25926,45.33333,294719
2007-02-22,44.71605,46.074074,44.46914,45.33333,357170
2007-02-23,45.48148,45.53086,45.061729,45.086418,155196
2007-02-26,45.75309,46.41975,45.62963,45.65432,565178
2007-02-27,45.012344,45.58025,44.27161,44.5679,415166
2007-02-28,44.22222,44.93827,44.19753,44.51852,555336
2007-03-01,44.19753,44.93827,43.75309,44.41975,363690
2007-03-02,44.19753,44.64198,43.38272,43.55556,584618
2007-03-05,43.33333,44.22222,43.25926,43.62963,436509
2007-03-06,43.87654,44.37037,43.7037,44.24691,253409
2007-03-07,44.22222,44.41975,43.82716,44.049381,165038
2007-03-08,44.27161,44.37037,43.23457,43.82716,517104
2007-03-09,43.7037,44.17284,43.20988,43.95062,265640
2007-03-12,43.95062,44.24691,43.75309,43.82716,579312
2007-03-13,43.62963,43.85185,43.20988,43.28395,258836
2007-03-14,43.20988,43.55556,42.8395,43.55556,227772
2007-03-15,43.82716,44.19753,43.72839,44.14815,280827
2007-03-16,44.14815,44.88889,44.12346,44.79012,511718
2007-03-19,44.46914,45.20988,44.2963,44.98766,271715
2007-03-20,44.96296,45.061729,44.39506,44.44444,288158
2007-03-21,44.46914,44.66667,44.19753,44.32099,492075
2007-03-22,44.37037,44.49383,44.098766,44.46914,424035
2007-03-23,44.44444,44.46914,44.074074,44.19753,410103
2007-03-26,44.39506,44.41975,43.50617,43.7037,311567
2007-03-27,43.72839,43.77778,43.35802,43.53086,283217
2007-03-28,43.45679,43.80247,43.1605,43.48148,455990
2007-03-29,43.58025,43.7037,42.88889,43.1358,412412
2007-03-30,43.086418,43.58025,42.5679,42.76543,427640
2007-04-02,42.98766,43.50617,42.8642,43.1605,415166
2007-04-03,43.25926,44.074074,43.25926,43.85185,541566
2007-04-04,43.90123,43.90123,43.45679,43.53086,316265
2007-04-05,43.33333,43.33333,41.62963,41.77778,1136511
2007-04-09,41.48148,42.098766,41.23457,42.049381,1035828
2007-04-10,41.92593,42.049381,41.67901,41.67901,484745
2007-04-11,41.72839,42.5679,40.98766,42.22222,1062032
2007-04-12,43.33333,44.69136,43.33333,44.44444,2260265
2007-04-13,44.24691,45.85185,43.95062,45.35802,1242014
2007-04-16,45.67901,47.1605,45.35802,46.098766,2369048
2007-04-17,46.12346,47.18518,45.18518,45.20988,1229742
2007-04-18,45.20988,46.34568,44.8395,46.074074,655412
2007-04-19,46.074074,46.44444,45.28395,45.30864,554445
2007-04-20,46.049381,46.049381,44.66667,45.67901,930974
2007-04-23,45.58025,46.17284,45.58025,45.97531,361827
2007-04-24,45.97531,46.49383,45.67901,46.46914,733901
2007-04-25,46.32099,46.37037,45.48148,45.48148,730215
2007-04-26,45.23457,45.45679,44.37037,45.33333,1329818
2007-04-27,45.18518,45.75309,45.061729,45.75309,298080
2007-04-30,45.75309,45.80247,45.1605,45.1605,556106
2007-05-01,45.061729,45.92593,44.69136,45.92593,606812
2007-05-02,45.67901,46.96296,45.4321,46.66667,780071
2007-05-03,47.23457,47.53086,46.49383,46.8642,846288
2007-05-04,46.8642,47.55556,46.61728,47.55556,388476
2007-05-07,47.55556,47.55556,45.92593,46.79012,620946
2007-05-08,46.54321,47.35802,46.098766,46.91358,356967
2007-05-09,46.66667,46.79012,45.87654,46.074074,412128
2007-05-10,45.82716,45.87654,44.34568,44.5679,821016
2007-05-11,44.69136,45.061729,44.61728,44.8642,482558
2007-05-14,44.79012,44.8642,44.44444,44.61728,755001
2007-05-15,44.5679,45.50617,44.54321,45.1358,626333
2007-05-16,45.086418,45.97531,44.93827,45.75309,344777
2007-05-17,45.75309,45.97531,45.18518,45.53086,229635
2007-05-18,45.58025,46.64198,45.4321,46.39506,326349
2007-05-21,46.024693,47.20988,45.77778,46.93827,616329
2007-05-22,46.81482,47.62963,46.79012,47.48148,489240
2007-05-23,47.53086,48.44444,47.33333,47.53086,543308
2007-05-24,47.53086,47.65432,45.80247,45.92593,832275
2007-05-25,46.17284,46.91358,45.77778,46.91358,415976
2007-05-29,46.79012,48.14815,46.39506,48.14815,626900
2007-05-30,47.67901,49.35802,47.18518,49.23457,652941
2007-05-31,49.086418,49.87654,48.76543,49.75309,1107675
2007-06-01,49.62963,49.87654,48.81482,49.25926,715676
2007-06-04,49.25926,49.38272,48.59259,48.71605,469314
2007-06-05,48.49383,48.64198,47.72839,48.24691,503051
2007-06-06,48.39506,49.11111,47.4321,48.37037,387707
2007-06-07,46.8642,46.8642,44.32099,44.37037,1547667
2007-06-08,44.44444,45.037037,43.95062,44.54321,808704
2007-06-11,45.85185,45.97531,44.46914,44.61728,725517
2007-06-12,44.44444,44.61728,43.77778,43.77778,408969
2007-06-13,43.95062,44.93827,43.95062,44.76543,405851
2007-06-14,44.93827,45.28395,44.61728,44.88889,447728
2007-06-15,45.65432,45.65432,44.69136,44.91358,596606
2007-06-18,45.086418,45.11111,44.27161,44.44444,448538
2007-06-19,44.34568,45.30864,44.049381,45.1358,401112
2007-06-20,45.25926,45.53086,44.51852,44.8395,325013
2007-06-21,44.61728,45.037037,44.39506,44.71605,224735
2007-06-22,44.5679,44.5679,44.049381,44.27161,857709
2007-06-25,43.97531,44.27161,43.4321,43.87654,658206
2007-06-26,44.024693,45.62963,42.51852,43.4321,580284
2007-06-27,42.98766,45.061729,42.96296,44.61728,869414
2007-06-28,44.64198,45.40741,44.46914,44.88889,450360
2007-06-29,44.96296,45.33333,44.54321,44.61728,554121
2007-07-02,45.037037,45.45679,44.59259,44.71605,499284
2007-07-03,45.1358,45.1358,44.39506,44.64198,248954
2007-07-05,44.54321,44.8395,44.41975,44.49383,206024
2007-07-06,44.44444,44.69136,44.22222,44.41975,220847
2007-07-09,44.37037,44.76543,44.19753,44.46914,442098
