date,open,high,low,close,volume
2006-10-18,57.28522,57.45705,57.044674,57.32818,763351
2006-10-19,57.17354,57.67182,57.044674,57.43127,1028860
2006-10-20,58.24742,58.62543,57.86082,58.50515,1753333
2006-10-23,58.63402,59.18385,58.4622,58.71134,2039444
2006-10-24,58.93471,59.47594,58.4622,59.16667,2282488
2006-10-25,59.27835,59.75945,58.83162,59.046391,1384927
2006-10-26,59.029209,59.046391,58.37629,58.71134,967866
2006-10-27,58.58247,58.73711,58.20447,58.54811,768356
2006-10-30,58.67698,58.8488,58.29038,58.41924,1375382
2006-10-31,58.50515,58.97766,58.43642,58.84021,1005114
2006-11-01,58.84021,59.20962,57.60309,57.81787,1438704
2006-11-02,57.86082,58.5567,57.81787,58.1701,999178
2006-11-03,58.19588,58.4622,57.52577,57.52577,1039103
2006-11-06,57.7835,58.16151,57.71478,57.93814,1139323
2006-11-07,58.41924,59.10653,58.26461,58.81443,1130360
2006-11-08,58.69416,58.89175,58.0756,58.53952,1156783
2006-11-09,58.81443,58.89175,57.87801,58.049828,983696
2006-11-10,58.19588,58.59106,58.10997,58.30756,688506
2006-11-13,58.4622,58.83162,58.33333,58.42783,575482
2006-11-14,58.51374,58.84021,58.35051,58.68557,866947
2006-11-15,58.7457,59.40722,58.68557,59.40722,1016987
2006-11-16,59.4244,60.042953,59.4244,60.042953,763118
2006-11-17,59.92268,60.042953,59.49313,59.79382,964840
2006-11-20,59.7079,59.91409,59.097939,59.17526,1232909
2006-11-21,59.31271,59.53608,58.90894,59.012028,724241
2006-11-22,59.19244,59.50172,58.8488,59.50172,808398
2006-11-24,59.45876,59.69072,59.19244,59.45017,201488
2006-11-27,59.66495,60.085911,59.47594,59.80241,1347446
2006-11-28,59.66495,59.92268,59.34708,59.45017,1099864
2006-11-29,59.45876,60.2921,59.38144,60.12886,1080076
2006-11-30,60.34364,61.03093,60.19759,60.82474,1112318
2006-12-01,60.91065,60.91065,60.36082,60.85911,891275
2006-12-04,61.073883,61.54639,60.87629,61.40894,697120
2006-12-05,61.59794,61.74398,60.99656,61.59794,636242
2006-12-06,61.5378,62.19931,61.42612,62.018902,838778
2006-12-07,61.98454,62.5945,61.98454,62.24227,1088806
2006-12-08,62.25086,62.42268,61.71821,61.89862,923168
2006-12-11,61.89862,62.43986,61.89003,62.18213,1219174
2006-12-12,61.85567,62.061855,61.42612,61.85567,962512
2006-12-13,62.19931,62.28522,61.64089,61.78694,839244
2006-12-14,61.83849,62.2079,61.7268,61.87285,1126286
2006-12-15,61.88144,62.12199,61.68385,61.76117,907920
2006-12-18,61.94158,62.34536,61.89862,62.27663,925031
2006-12-19,62.37114,62.81787,62.28522,62.74914,950290
2006-12-20,62.92096,63.34192,62.86942,63.10997,639618
2006-12-21,63.11856,63.51374,62.93814,63.11856,639967
2006-12-22,63.7457,63.83162,63.18729,63.52234,577460
2006-12-26,63.47938,63.54811,62.92955,63.08419,541376
2006-12-27,63.25602,63.5567,63.20447,63.47938,823530
2006-12-28,63.47079,63.7457,63.29897,63.48797,513557
2006-12-29,63.40206,63.7457,63.049828,63.11856,439876
2007-01-03,62.97251,63.78007,62.66323,62.80069,1768814
2007-01-04,62.81787,63.56529,62.5,63.35911,1273532
2007-01-05,63.14433,63.39347,62.89519,63.13574,1704445
2007-01-08,63.18729,64.30412,62.71478,64.17525,1647526
2007-01-09,64.17525,64.2354,62.95533,63.11856,1384462
2007-01-10,62.95533,63.11856,62.81787,63.0068741,1091599
2007-01-11,62.96392,63.3677,62.62886,62.93814,1301701
2007-01-12,62.93814,63.22165,62.65464,62.71478,1113832
2007-01-16,62.92955,63.3677,62.26804,62.45705,1381784
2007-01-17,62.45705,62.72337,62.2165,62.56873,1845988
2007-01-18,62.7835,63.15292,62.58591,62.76632,1415308
2007-01-19,62.89519,63.10997,62.64605,62.7835,837032
2007-01-22,62.8866,63.19588,62.76632,62.92096,870905
2007-01-23,62.77491,62.7835,62.28522,62.62027,953432
2007-01-24,62.56014,62.86082,62.27663,62.82646,1205671
2007-01-25,62.81787,62.87801,61.79553,61.91581,1380504
2007-01-26,62.096218,62.24227,60.94502,61.39175,1381086
2007-01-29,61.39175,62.19931,61.21993,62.018902,1057145
2007-01-30,62.036083,62.71478,62.018902,62.66323,920258
2007-01-31,62.57732,63.19588,62.34536,63.092785,941094
2007-02-01,63.10138,63.15292,62.62027,63.067009,949591
2007-02-02,63.067009,63.57388,62.80928,63.1701,658126
2007-02-05,62.96392,63.28179,62.46564,62.56014,963094
2007-02-06,62.689,63.0756,62.62886,62.94674,911063
2007-02-07,63.058418,63.56529,62.97251,63.22165,933761
2007-02-08,63.30756,63.84021,63.22165,63.63402,1073208
2007-02-09,63.78866,64.0034332,63.20447,63.43642,646136
2007-02-12,63.6512,63.78007,63.28179,63.44502,689554
2007-02-13,63.61684,64.037804,63.48797,63.77148,905825
2007-02-14,63.78866,64.15807,63.48797,63.95189,886386
2007-02-15,67.010307,69.34708,67.010307,68.72852,6373598
2007-02-16,68.72852,69.58763,68.71993,69.046394,1589791
2007-02-20,68.73711,69.46735,67.48282,68.95189,2120110
2007-02-21,68.67698,69.14948,68.49657,68.78007,775340
2007-02-22,68.91753,69.4244,68.73711,68.9433,956226
2007-02-23,68.72852,69.10653,68.51375,69.054985,1040500
2007-02-26,69.046394,69.046394,68.50516,68.76289,721913
2007-02-27,68.72852,68.7457,67.76632,67.86942,2134543
2007-02-28,67.87801,68.6512,67.52577,68.45361,1634605
2007-03-01,63.65979,64.43299,60.19759,60.2835,11066963
2007-03-02,59.87973,60.61856,58.0756,58.72852,6935578
2007-03-05,56.75258,58.76289,56.75258,57.51718,3301802
2007-03-06,57.044674,58.0068741,56.35739,57.64605,5143367
2007-03-07,57.72337,58.30756,57.43986,57.95533,6636779
2007-03-08,58.29897,59.17526,58.19588,58.83162,3382817
2007-03-09,59.27835,59.39003,58.77148,59.063576,3130112
2007-03-12,59.063576,60.017181,58.93471,59.79382,2796976
2007-03-13,60.12027,60.7732,59.75945,60.43814,3200302
2007-03-14,60.78179,61.065292,59.82818,60.35223,2834456
2007-03-15,60.35223,61.50344,60.07732,61.35739,2454760
2007-03-16,61.40894,62.13918,60.61856,60.87629,2287376
2007-03-19,60.56701,61.48626,60.26632,61.2543,1315669
2007-03-20,61.35739,61.60653,61.073883,61.15979,1075769
2007-03-21,61.21134,61.85567,60.71306,61.64089,950988
2007-03-22,61.76976,62.35395,61.49485,61.62371,1259681
2007-03-23,61.70962,62.070446,61.39175,61.70962,788843
2007-03-26,61.84708,62.35395,61.57217,62.32818,1257702
2007-03-27,62.15636,62.19072,61.7268,61.96735,1011865
2007-03-28,62.044674,62.2079,61.58076,61.89003,1308220
2007-03-29,62.4055,62.60309,61.83849,62.53436,1312294
2007-03-30,62.62886,63.0756,61.85567,62.39691,1251533
2007-04-02,62.38832,62.86082,61.8213,62.13918,1231745
2007-04-03,62.18213,62.5945,62.12199,62.5945,806303
2007-04-04,62.68041,62.74914,62.39691,62.53436,830980
2007-04-05,62.58591,62.98969,62.42268,62.8866,539863
2007-04-09,62.86942,63.59966,62.86942,63.29897,811192
2007-04-10,63.29897,63.49656,63.041237,63.049828,975316
2007-04-11,63.18729,63.18729,61.95017,62.19931,1298326
2007-04-12,62.25086,62.25086,61.46907,62.14777,1335108
2007-04-13,62.29382,62.92955,62.15636,62.80928,1089155
2007-04-16,62.80928,62.93814,62.43127,62.75773,719236
2007-04-17,62.71478,63.015465,62.61168,62.85223,1239427
2007-04-18,62.86082,63.32474,62.5,63.25602,1423805
2007-04-19,63.25602,63.26461,62.5,63.21306,842154
2007-04-20,63.57388,64.2354,63.14433,63.63402,1205904
2007-04-23,64.92268,64.92268,63.10138,63.23024,780695
2007-04-24,63.15292,63.32474,61.88144,62.311,1283543
2007-04-25,62.52577,62.52577,61.95017,62.26804,1485962
2007-04-26,65.97938,68.6598,65.72165,67.82646,5871798
2007-04-27,67.7921,67.98969,66.98454,67.80069,1632626
2007-04-30,67.83505,68.27319,67.23368,67.81787,1247575
2007-05-01,67.69759,67.76632,66.85567,67.51718,2471754
2007-05-02,67.35395,68.41924,67.24227,67.78351,1192518
2007-05-03,67.86082,67.92096,66.70963,66.90722,1317532
2007-05-04,67.26804,67.43987,66.89004,67.13058,1071695
2007-05-07,67.34536,67.89519,67.25945,67.89519,854958
2007-05-08,67.89519,68.12715,67.56013,67.72337,927359
2007-05-09,67.72337,68.058418,67.43987,67.86942,703754
