date,open,high,low,close,volume
2006-10-18,40.68309,41.46727,40.63585,40.90039,524344
2006-10-19,40.71143,41.089352,40.59806,41.013767,466448
2006-10-20,41.0043182,41.3539,40.73033,40.99487,444856
2006-10-23,40.99487,41.76961,40.90984,41.76016,734124
2006-10-24,41.81685,42.46876,41.76016,42.13808,1254445
2006-10-25,42.13808,42.7522,42.13808,42.67662,923582
2006-10-26,42.67662,42.91282,39.058033,41.56175,3769475
2006-10-27,41.46727,41.63734,40.61695,40.6264,1339331
2006-10-30,40.10676,40.154,39.16196,39.51154,2005080
2006-10-31,39.40761,40.45634,39.40761,40.24848,1398391
2006-11-01,40.3713,40.61695,39.32257,39.43595,1368226
2006-11-02,38.92576,39.067478,37.95262,38.20771,2137172
2006-11-03,38.44391,38.83128,38.11323,38.16992,1239204
2006-11-06,38.2644,38.44391,37.71642,37.88648,1832769
2006-11-07,37.93372,38.2644,37.31015,37.84869,3379022
2006-11-08,37.83924,39.78553,37.792,39.32257,2391617
2006-11-09,39.36037,40.021729,39.26589,39.72884,1735711
2006-11-10,39.77608,40.0028305,39.63436,39.74774,1352773
2006-11-13,39.35092,39.98394,39.35092,39.59657,962108
2006-11-14,39.77608,39.80442,39.18085,39.50209,1364839
2006-11-15,39.6816,39.77608,39.2281,39.24699,1218988
2006-11-16,39.61546,40.34296,39.39816,40.29572,1066575
2006-11-17,40.33351,40.46578,40.040623,40.22958,847798
2006-11-20,40.12566,40.73033,39.98394,40.68309,1185224
2006-11-21,40.91929,41.29721,40.78702,41.14604,1140559
2006-11-22,41.14604,42.10974,41.079903,42.10974,1316998
2006-11-24,41.87354,41.92078,41.42948,41.5901,339543
2006-11-27,41.59954,41.59954,40.11621,40.11621,664585
2006-11-28,40.16345,40.16345,39.25644,39.59657,926863
2006-11-29,39.96504,40.43744,39.61546,40.059521,824936
2006-11-30,40.059521,40.12566,39.63436,39.78553,771486
2006-12-01,39.69105,40.3713,39.58712,40.22958,879763
2006-12-04,40.087864,41.28776,40.087864,41.051559,1053027
2006-12-05,41.051559,41.66568,41.023216,41.37279,1382303
2006-12-06,41.38224,41.86409,41.19328,41.62789,920406
2006-12-07,41.8074,42.034153,41.16494,41.17439,737828
2006-12-08,40.93818,41.8263,40.53192,41.24997,766300
2006-12-11,41.34445,41.62789,41.12714,41.28776,739522
2006-12-12,42.79944,43.43246,41.34445,41.8263,1969200
2006-12-13,41.83574,42.61048,41.71292,42.44986,2061071
2006-12-14,42.42152,42.82779,42.39318,42.61048,1286092
