date,open,high,low,close,volume
2006-10-18,24.75,24.94,24.6,24.8,481600
2006-10-19,24.85,25.31,24.84,25.24,513300
2006-10-20,25.29,25.29,24.62,24.67,196000
2006-10-23,24.71,24.99,24.57,24.95,236600
2006-10-24,24.81,24.96,24.72,24.96,207700
2006-10-25,24.85,25.3,24.69,25.08,377200
2006-10-26,25.57,26.5,25.57,26.34,784900
2006-10-27,26.14,26.54,25.61,26.35,777500
2006-10-30,26.36,26.84,26.29,26.74,672200
2006-10-31,26.85,27.19,26.5,26.96,1047100
2006-11-01,27.02,27.24,26.81,26.93,830400
2006-11-02,26.88,27.12,26.67,26.99,464300
2006-11-03,27.0,27.4,26.95,27.31,443900
2006-11-06,27.34,27.67,27.28,27.56,441400
2006-11-07,27.75,28.28,27.71,28.2,486400
2006-11-08,27.95,28.22,27.81,28.17,387000
2006-11-09,28.27,28.55,28.07,28.24,396000
2006-11-10,28.1,28.58,28.1,28.57,228600
2006-11-13,28.55,28.59,28.29,28.55,316400
2006-11-14,28.53,29.28,28.5,29.25,415800
2006-11-15,28.37,29.29,28.37,29.01,486100
2006-11-16,28.9,29.1,28.77,29.0,433000
2006-11-17,28.93,29.02,28.82,29.0,358500
2006-11-20,29.030001,29.4,29.030001,29.31,215700
2006-11-21,29.21,29.24,28.93,28.99,316600
2006-11-22,29.12,29.3,28.91,29.1,180900
2006-11-24,29.0,29.059999,28.74,29.059999,157800
2006-11-27,29.0,29.049999,28.41,28.45,286200
2006-11-28,28.43,28.57,28.01,28.54,378800
2006-11-29,28.7,28.9,28.57,28.85,406500
2006-11-30,28.9,29.24,28.6,29.24,352900
2006-12-01,29.24,29.24,28.45,28.78,256300
2006-12-04,28.8,29.45,28.8,29.36,280700
2006-12-05,29.33,29.46,29.13,29.45,325900
2006-12-06,29.4,29.56,29.25,29.52,223300
2006-12-07,29.45,30.83,29.4,30.8,1479000
2006-12-08,30.82,31.040001,30.65,30.97,505600
2006-12-11,30.98,31.25,30.82,31.15,572600
2006-12-12,31.1,31.35,30.9,31.2,652500
2006-12-13,31.24,31.39,30.92,30.92,334000
2006-12-14,30.88,30.9,30.68,30.82,604400
2006-12-15,30.91,30.95,30.75,30.9,345400
2006-12-18,30.9,31.030001,30.42,30.5,364500
2006-12-19,30.48,30.79,30.32,30.61,177900
2006-12-20,30.59,30.82,30.5,30.62,199700
2006-12-21,30.65,30.85,30.25,30.5,127200
2006-12-22,30.32,30.32,30.01,30.02,106900
2006-12-26,30.049999,30.35,29.99,30.34,186400
2006-12-27,30.35,30.75,30.34,30.69,120700
2006-12-28,30.65,30.83,30.65,30.7,141800
2006-12-29,30.67,30.9,30.61,30.61,114100
2007-01-03,30.71,30.81,29.91,30.11,265600
2007-01-04,30.0,30.049999,29.4,29.61,368200
2007-01-05,29.6,29.71,29.34,29.41,170800
2007-01-08,29.33,29.58,29.21,29.5,133000
2007-01-09,29.65,29.65,29.22,29.47,142900
2007-01-10,29.48,29.74,29.25,29.65,344200
2007-01-11,29.7,29.88,29.42,29.47,305700
2007-01-12,29.33,29.99,29.33,29.96,161100
2007-01-16,29.88,30.049999,29.51,29.58,242900
2007-01-17,29.5,29.9,29.5,29.67,144800
2007-01-18,29.6,29.82,29.52,29.69,141900
2007-01-19,29.85,30.02,29.57,29.96,215600
2007-01-22,29.98,30.0,29.77,29.85,99200
2007-01-23,29.85,30.25,29.83,30.14,207200
2007-01-24,30.08,30.38,30.02,30.35,163700
2007-01-25,30.4,30.48,29.72,29.8,188500
2007-01-26,29.8,29.92,29.059999,29.88,149600
2007-01-29,29.88,29.91,29.45,29.48,305500
2007-01-30,29.45,29.9,29.45,29.86,184500
2007-01-31,29.75,30.39,29.75,30.34,270300
2007-02-01,30.56,31.38,30.54,31.3,236700
2007-02-02,31.3,31.49,31.21,31.43,147700
2007-02-05,31.46,31.82,31.46,31.71,248000
2007-02-06,31.71,31.72,31.31,31.42,226800
2007-02-07,31.41,31.6,31.1,31.44,224100
2007-02-08,32.0,35.7,31.6,35.45,1424900
2007-02-09,35.37,35.66,35.0,35.25,737000
2007-02-12,34.92,35.02,34.75,34.9,616000
2007-02-13,34.98,35.29,34.7,35.19,627400
2007-02-14,35.19,35.5,34.94,35.34,454000
2007-02-15,35.3,35.62,34.9,35.44,325000
2007-02-16,35.19,35.7,35.19,35.59,298100
2007-02-20,35.3,35.82,34.96,35.72,464300
2007-02-21,35.72,35.87,35.37,35.7,287600
2007-02-22,35.69,36.0099983,35.5,35.7,317800
2007-02-23,35.5,35.65,35.4,35.5,298200
2007-02-26,35.43,35.55,35.26,35.48,541400
2007-02-27,34.8,35.23,34.2,34.28,302100
2007-02-28,34.27,34.6,33.72,34.32,541900
2007-03-01,34.07,34.4,33.77,34.32,494600
2007-03-02,34.17,34.5,34.060001,34.19,328700
2007-03-05,33.9,34.6,33.6,33.8,347600
2007-03-06,34.3,34.99,34.2,34.84,485400
2007-03-07,34.84,35.34,34.8,35.0,368000
2007-03-08,35.02,35.62,34.95,35.2,523600
2007-03-09,35.5,36.099998,35.42,35.7,562200
2007-03-12,35.6,35.84,35.39,35.46,791500
2007-03-13,35.47,35.47,33.7,33.9,824100
2007-03-14,34.12,34.7,33.92,34.27,1120300
2007-03-15,34.19,35.38,34.19,35.09,503600
2007-03-16,35.09,35.43,35.0,35.23,211500
2007-03-19,35.23,35.63,35.22,35.51,306500
