date,open,high,low,close,volume
2006-10-18,57.74,58.48,57.68,58.25,4699800
2006-10-19,57.25,58.21,56.82,57.49,6121600
2006-10-20,57.46,57.52,56.52,57.24,4776100
2006-10-23,56.87,58.049999,56.75,57.91,3885100
2006-10-24,57.55,57.83,57.38,57.78,3748200
2006-10-25,57.74,57.9,57.27,57.49,3309300
2006-10-26,57.22,57.75,56.81,57.29,3936400
2006-10-27,56.9,57.35,56.59,57.029999,4214000
2006-10-30,56.91,57.12,56.3,56.32,3780700
2006-10-31,56.59,56.66,55.94,56.0099983,3847000
2006-11-01,56.25,56.34,55.64,55.99,5348100
2006-11-02,56.0,56.64,55.95,56.37,5291100
2006-11-03,56.2,56.44,55.95,56.080002,3159700
2006-11-06,56.080002,56.71,55.89,56.67,3601000
2006-11-07,56.75,57.48,56.52,56.98,5023700
2006-11-08,56.45,56.71,55.72,56.48,5708300
2006-11-09,56.31,56.35,54.59,54.87,11254400
2006-11-10,54.87,55.09,53.94,54.14,5895200
2006-11-13,53.87,54.44,53.61,54.060001,5647000
2006-11-14,54.23,54.23,53.36,53.85,7396500
2006-11-15,54.0,54.58,53.81,54.37,6522900
2006-11-16,53.7,54.8,53.7,54.56,5852800
2006-11-17,54.56,55.0,54.3,54.55,6100500
2006-11-20,54.25,54.59,53.93,54.38,4203900
2006-11-21,54.16,54.38,53.65,54.049999,5901500
2006-11-22,53.85,54.25,53.8,54.029999,3452500
2006-11-24,53.9,54.29,53.78,53.9,1668000
2006-11-27,53.81,54.060001,53.39,53.58,4973300
2006-11-28,53.38,54.27,53.38,53.72,4695800
2006-11-29,53.94,54.34,53.75,54.040001,3561100
2006-11-30,53.94,54.21,53.45,53.59,4946800
2006-12-01,53.45,53.72,53.24,53.4,4248000
2006-12-04,53.59,54.060001,53.3,54.029999,4569700
2006-12-05,54.23,54.79,53.69,54.7,5445100
2006-12-06,54.43,54.92,54.099998,54.86,4757900
2006-12-07,54.099998,54.6,53.83,53.99,5768500
2006-12-08,53.8,54.12,53.6,54.0,4338200
2006-12-11,53.9,54.16,53.75,53.98,3309800
2006-12-12,54.080002,54.13,53.55,53.9,3704000
2006-12-13,54.19,54.2,53.48,53.69,4259400
2006-12-14,53.59,54.18,53.59,53.97,3035200
2006-12-15,53.99,54.57,53.76,54.52,6476300
2006-12-18,53.58,54.049999,52.93,53.23,10482100
2006-12-19,52.88,53.0,52.34,52.62,8798300
2006-12-20,52.5,52.86,52.28,52.4,5643800
2006-12-21,52.12,52.4,51.69,51.79,7315800
2006-12-22,51.89,51.9,51.13,51.35,8505200
2006-12-26,51.4,52.8,51.25,51.78,12240000
2006-12-27,51.99,52.3,51.4,52.0,6117400
2006-12-28,51.78,52.080002,51.71,52.0099983,3394100
2006-12-29,51.73,52.22,51.71,52.099998,4311300
2007-01-03,52.45,52.88,51.92,52.25,10305500
2007-01-04,51.99,52.51,51.9,52.36,6827100
2007-01-05,52.52,52.58,51.87,52.040001,4114400
2007-01-08,52.21,52.21,51.75,51.8,3804200
2007-01-09,52.040001,52.099998,51.75,51.83,6272000
2007-01-10,51.59,51.83,51.57,51.66,3400300
2007-01-11,51.76,52.33,51.66,52.23,4432200
2007-01-12,52.4,52.92,52.27,52.6,5533100
2007-01-16,52.8,52.9,52.51,52.88,4181300
2007-01-17,52.88,53.17,52.54,52.85,5018000
2007-01-18,52.6,53.21,52.6,53.040001,3943000
2007-01-19,53.3,53.45,52.83,52.96,3837200
2007-01-22,52.57,53.12,52.52,52.73,5872300
2007-01-23,52.85,52.95,52.47,52.65,4397700
2007-01-24,52.74,53.4,52.68,53.33,3934000
2007-01-25,53.2,53.3,52.85,53.13,5061100
2007-01-26,53.049999,53.45,52.6,52.79,3966100
2007-01-29,52.9,53.0,52.55,52.85,3472700
2007-01-30,52.87,53.0,52.6,52.73,2671200
2007-01-31,52.7,54.37,52.55,54.12,10521200
2007-02-01,54.65,55.040001,54.5,54.77,6648100
2007-02-02,54.68,54.78,54.37,54.6,4973400
2007-02-05,54.43,54.72,54.029999,54.67,5090500
2007-02-06,54.6,54.82,54.39,54.64,4486200
2007-02-07,54.7,54.78,54.34,54.42,4679100
2007-02-08,54.049999,54.72,54.049999,54.21,3124600
2007-02-09,54.2,54.7,54.11,54.23,3591600
2007-02-12,54.75,54.75,54.23,54.41,3300400
2007-02-13,54.39,54.5,54.049999,54.28,3356500
2007-02-14,54.37,54.89,54.23,54.86,3773400
2007-02-15,54.85,55.11,54.75,54.96,3092000
2007-02-16,54.76,55.040001,54.57,54.99,3680800
2007-02-20,55.029999,55.2,54.76,54.97,3228800
2007-02-21,54.65,54.8,54.37,54.52,3370600
2007-02-22,54.6,54.6,54.0099983,54.14,3344100
2007-02-23,54.0,54.36,53.75,54.21,3380500
2007-02-26,54.46,54.66,54.25,54.4,3847900
2007-02-27,53.71,54.52,52.58,53.0,8073700
2007-02-28,53.52,53.52,52.3,52.59,7682500
2007-03-01,52.0099983,52.52,51.9,52.25,6262800
2007-03-02,52.14,52.19,51.71,51.77,6537200
2007-03-05,51.48,52.099998,51.21,51.63,7562800
2007-03-06,51.75,52.28,51.56,52.23,5054300
2007-03-07,52.07,52.44,51.65,51.86,4844600
2007-03-08,52.11,52.39,52.0,52.36,3296500
2007-03-09,52.55,52.92,52.38,52.59,5052100
2007-03-12,52.39,53.040001,52.25,52.8,3643200
2007-03-13,52.37,52.88,52.0,52.07,5432200
2007-03-14,52.26,52.3,51.35,51.9,5342900
2007-03-15,51.75,52.09,51.53,52.049999,3769600
2007-03-16,52.15,52.42,51.79,52.18,6181800
2007-03-19,52.23,52.72,52.12,52.68,3265300
2007-03-20,52.6,52.88,52.38,52.77,3532300
2007-03-21,52.65,53.91,52.65,53.82,6668200
2007-03-22,53.0,54.28,53.0,54.17,4229700
2007-03-23,53.99,54.22,53.39,53.81,3956100
2007-03-26,53.49,53.96,53.2,53.71,5206300
2007-03-27,53.4,53.6,53.060001,53.27,4548400
2007-03-28,53.28,53.35,52.62,53.0099983,5457700
2007-03-29,53.2,53.54,52.73,53.41,5333000
2007-03-30,53.5,54.080002,53.2,53.71,3728100
2007-04-02,53.96,54.49,53.9,54.39,6021300
2007-04-03,54.15,54.92,54.11,54.75,4308200
2007-04-04,54.65,55.24,54.5,55.16,4346000
2007-04-05,55.15,55.62,55.060001,55.48,2997000
2007-04-09,55.43,55.73,55.27,55.58,2295500
2007-04-10,55.42,55.73,55.34,55.68,2985200
2007-04-11,55.72,55.74,55.29,55.59,3776900
2007-04-12,55.6,56.09,55.5,55.94,4002300
2007-04-13,56.24,57.0,56.2,56.88,6485200
2007-04-16,57.7,58.48,57.0099983,58.4,10756500
2007-04-17,58.4,59.09,58.34,58.87,9278900
2007-04-18,58.56,59.36,58.45,59.14,6871500
2007-04-19,59.099998,60.28,58.65,60.02,9921500
2007-04-20,60.34,61.0,60.049999,60.56,9630000
2007-04-23,60.21,60.28,59.27,59.63,7704300
2007-04-24,59.02,59.5,58.9,59.28,5043500
2007-04-25,59.6,59.63,59.11,59.51,4655800
2007-04-26,58.88,59.88,58.88,59.73,6101200
2007-04-27,59.0099983,59.7,58.99,59.61,2967600
2007-04-30,59.98,59.98,58.93,59.13,5198200
2007-05-01,59.12,59.39,58.76,58.89,7409300
2007-05-02,59.0,59.49,58.77,59.16,4561500
2007-05-03,59.45,59.6,58.97,59.14,4140300
2007-05-04,59.09,59.74,58.92,59.54,6180400
2007-05-07,59.55,59.96,59.54,59.72,4577200
2007-05-08,59.64,59.97,59.45,59.83,8457300
2007-05-09,59.58,59.78,59.39,59.75,4803800
2007-05-10,59.47,59.58,58.64,58.71,6166400
2007-05-11,58.71,58.71,57.9,58.43,7569800
2007-05-14,58.44,59.35,58.44,59.21,4713200
2007-05-15,59.17,59.6,59.080002,59.24,4076700
2007-05-16,59.26,59.47,58.88,59.11,3938700
2007-05-17,58.7,59.17,58.67,59.02,2789700
2007-05-18,59.11,59.59,59.0,59.37,3042100
2007-05-21,59.4,59.89,59.19,59.62,6823500
2007-05-22,59.99,60.0,59.4,59.53,3095700
2007-05-23,59.52,59.75,59.29,59.4,2914100
2007-05-24,59.9,59.9,59.080002,59.19,3900900
2007-05-25,58.6,59.5,58.6,59.36,1821600
2007-05-29,59.3,59.54,58.8,59.46,3201700
2007-05-30,59.0099983,59.27,58.52,59.24,5105800
2007-05-31,59.25,59.39,58.38,58.62,5378500
2007-06-01,58.73,58.96,58.42,58.94,3851300
2007-06-04,58.94,59.23,58.74,59.16,4873700
2007-06-05,59.18,59.21,58.73,59.0,5278100
2007-06-06,58.75,59.19,58.15,58.29,5925400
2007-06-07,58.09,58.16,56.71,56.93,12166200
2007-06-08,56.81,57.15,56.4,57.02,6994900
2007-06-11,57.07,57.68,56.79,57.31,4952000
2007-06-12,56.88,57.28,56.59,56.78,4326900
2007-06-13,56.94,57.32,56.38,56.94,5704000
2007-06-14,57.049999,57.77,56.8,57.38,4829700
2007-06-15,58.0,58.27,57.51,57.72,4939200
2007-06-18,57.72,58.0,57.22,57.41,3045200
2007-06-19,57.51,57.9,57.4,57.75,4120800
2007-06-20,57.58,57.93,56.69,56.77,4817200
2007-06-21,56.94,56.94,56.099998,56.81,4107000
2007-06-22,56.66,56.77,55.58,55.8,5704300
2007-06-25,56.24,56.35,55.3,55.48,5931300
2007-06-26,55.84,56.080002,55.38,55.87,4988000
2007-06-27,55.41,56.4,55.4,56.32,5067200
2007-06-28,56.37,56.7,56.099998,56.18,3416800
2007-06-29,56.02,56.41,55.52,55.88,4410400
2007-07-02,56.24,56.73,56.099998,56.73,3610900
2007-07-03,56.97,57.0,56.55,56.79,1495700
2007-07-05,56.82,56.96,56.41,56.56,2675700
2007-07-06,56.66,56.76,56.2,56.64,3312100
2007-07-09,56.78,56.88,55.99,56.040001,5284200
2007-07-10,55.7,56.049999,55.42,55.44,4202000
2007-07-11,55.29,55.82,55.15,55.76,3505200
2007-07-12,55.8,56.91,55.64,56.79,4293000
