date,open,high,low,close,volume
2006-10-18,87.95,88.4,87.56,88.089996,1310400
2006-10-19,88.089996,88.74,87.46,87.94,1530900
2006-10-20,88.11,88.14,86.37,87.0,2060900
2006-10-23,87.0,88.29,87.0,88.19,1941500
2006-10-24,89.15,89.89,88.010002,89.11,2703300
2006-10-25,88.5,88.51,85.86,86.67,2929700
2006-10-26,86.4,86.5,82.7,85.010002,5269800
2006-10-27,84.5,84.99,83.74,84.61,2310600
2006-10-30,85.85,87.34,85.77,87.029999,2672200
2006-10-31,87.050003,87.14,86.45,86.93,1774600
2006-11-01,87.15,87.94,86.9,87.31,3049400
2006-11-02,88.099998,88.099998,86.59,87.059998,2002000
2006-11-03,87.0,87.27,86.3,87.0,1606200
2006-11-06,87.33,88.18,87.059998,87.69,2948000
2006-11-07,87.6,88.11,87.27,87.49,1736000
2006-11-08,86.83,87.010002,85.18,86.45,4738600
2006-11-09,86.45,86.75,85.17,85.37,2872800
2006-11-10,85.12,86.28,84.89,85.75,2237200
2006-11-13,85.51,87.36,85.51,86.86,2726200
2006-11-14,87.0,88.040001,86.76,88.040001,2219200
2006-11-15,88.0,88.96,87.94,88.54,1805500
2006-11-16,88.47,89.73,88.4,89.48,1372000
2006-11-17,89.28,89.58,88.93,89.15,1066100
2006-11-20,89.97,89.97,88.81,89.27,1447000
2006-11-21,89.28,90.050003,88.97,90.050003,1880900
2006-11-22,90.050003,90.47,89.099998,89.49,1188700
2006-11-24,89.35,89.68,89.15,89.33,321900
2006-11-27,88.95,89.089996,87.64,87.82,1349600
2006-11-28,87.9,89.75,87.8,89.65,1743400
2006-11-29,89.6,90.79,89.24,90.62,1647000
2006-11-30,91.14,91.14,89.21,90.45,1588700
2006-12-01,90.55,90.93,90.0,90.35,1763300
2006-12-04,90.15,92.16,90.13,92.14,1391700
2006-12-05,92.29,92.68,91.49,92.41,2142500
2006-12-06,92.19,92.81,91.82,92.28,1310500
2006-12-07,92.58,92.67,91.33,91.64,1037900
2006-12-08,91.46,91.84,90.89,91.82,1088700
2006-12-11,91.45,91.67,91.059998,91.33,937200
2006-12-12,91.2,91.36,90.61,90.92,1583200
2006-12-13,91.18,91.37,89.94,89.94,1753300
2006-12-14,90.72,90.87,89.95,90.25,1646100
2006-12-15,90.23,90.36,89.91,90.040001,2301500
2006-12-18,90.019997,90.53,89.85,90.18,1317100
2006-12-19,90.050003,92.029999,90.0,91.85,1288500
2006-12-20,91.6,92.099998,91.43,91.6,1531000
2006-12-21,92.15,92.5,91.43,91.94,1372800
2006-12-22,92.36,92.44,91.15,91.7,770800
2006-12-26,92.14,92.55,91.77,92.35,849300
2006-12-27,92.74,92.95,92.45,92.95,756300
2006-12-28,92.81,93.24,92.19,92.31,741900
2006-12-29,92.089996,92.68,91.95,92.07,911100
2007-01-03,91.6,92.51,91.51,91.93,1753900
2007-01-04,92.050003,92.23,91.080002,91.69,1942900
2007-01-05,91.69,92.57,91.37,92.019997,1954600
2007-01-08,91.55,94.2,91.54,93.69,2002400
2007-01-09,94.029999,94.67,93.25,93.6,1501600
2007-01-10,93.3,94.85,92.86,94.58,1305100
2007-01-11,94.55,95.76,94.12,95.66,1949700
2007-01-12,95.41,96.68,95.32,96.31,1760500
2007-01-16,96.050003,97.48,96.029999,97.0,1551800
2007-01-17,97.25,97.42,96.07,96.5,2229900
2007-01-18,96.12,97.38,96.12,96.8,1562600
2007-01-19,96.97,97.75,96.29,97.27,1578400
2007-01-22,97.28,97.29,95.6,96.77,3031700
2007-01-23,96.7,98.75,96.5,98.74,3159400
2007-01-24,98.2,98.21,96.5,97.14,3100300
2007-01-25,98.5,98.75,97.44,97.44,2715700
2007-01-26,98.75,98.75,96.21,96.67,2306300
2007-01-29,96.33,96.62,95.95,96.059998,3140600
2007-01-30,96.0,96.36,95.82,96.24,1851000
2007-01-31,96.2,97.3,96.16,97.19,1893500
2007-02-01,96.9,98.53,96.72,98.46,2281900
2007-02-02,97.85,99.0,97.58,98.46,2322000
2007-02-05,98.0,99.38,97.86,99.080002,1763800
2007-02-06,99.39,101.32,99.19,101.29,3627000
2007-02-07,100.92,101.84,100.67,101.52,2205500
2007-02-08,101.52,101.78,100.66,100.88,1300000
2007-02-09,100.76,101.59,100.72,101.16,1075700
2007-02-12,101.16,101.93,101.13,101.63,1690800
2007-02-13,101.64,102.61,101.52,102.26,1632200
2007-02-14,102.38,102.81,102.0,102.32,1010100
2007-02-15,102.14,103.46,102.040001,103.34,1233800
2007-02-16,102.66,103.26,101.58,101.95,1854700
2007-02-20,101.7,102.79,101.45,102.79,2235300
2007-02-21,102.76,103.42,102.27,102.55,1242900
2007-02-22,103.24,103.5,101.12,101.55,3377500
2007-02-23,101.59,102.32,101.13,102.11,1630900
2007-02-26,102.07,102.34,101.0,101.47,1383700
2007-02-27,101.16,101.34,96.33,97.57,2717300
2007-02-28,96.75,98.84,95.84,97.26,3070100
