date,open,high,low,close,volume
2006-10-18,18.935,19.14,18.895,18.99,572600
2006-10-19,18.92,19.13,18.905,19.040001,298800
2006-10-20,19.11,19.195,18.99,19.17,496800
2006-10-23,19.094999,19.44,19.084999,19.4,578800
2006-10-24,19.3,19.435,19.2,19.43,695600
2006-10-25,19.405,19.7,19.405,19.635,646600
2006-10-26,19.66,19.675,19.445,19.535,724200
2006-10-27,19.405,19.595,19.375,19.41,497200
2006-10-30,19.335,19.72,19.335,19.7,701200
2006-10-31,18.85,19.325,18.325,19.175,3449000
2006-11-01,19.08,19.28,19.075001,19.14,1540800
2006-11-02,19.049999,19.145,18.96,19.125,1152000
2006-11-03,19.16,19.455,19.014999,19.425,1634400
2006-11-06,19.4,19.5,19.255,19.33,1144200
2006-11-07,19.27,19.57,19.27,19.495,713000
2006-11-08,19.42,19.73,19.385,19.725,977000
2006-11-09,19.63,19.63,19.485,19.58,712000
2006-11-10,19.54,19.825,19.54,19.815,757200
2006-11-13,19.75,19.815,19.655,19.69,827400
2006-11-14,19.69,19.875,19.69,19.85,1475800
2006-11-15,19.81,19.825,19.545,19.6,1418600
2006-11-16,19.565,19.74,19.565,19.615,1179000
2006-11-17,19.61,19.735,19.495,19.735,725800
2006-11-20,19.7,19.84,19.62,19.71,999600
2006-11-21,19.98,19.98,19.65,19.84,505600
2006-11-22,19.82,19.84,19.65,19.76,769000
2006-11-24,19.68,19.79,19.68,19.785,160600
2006-11-27,19.685,19.7,19.29,19.32,994400
2006-11-28,19.31,19.46,19.275,19.38,1111800
2006-11-29,19.435,19.63,19.36,19.58,856800
2006-11-30,19.61,19.61,19.375,19.45,917600
2006-12-01,19.35,19.455,19.21,19.415,1183000
2006-12-04,19.465,19.735,19.465,19.7,865200
2006-12-05,19.7,19.745,19.585,19.73,865200
2006-12-06,19.65,19.74,19.535,19.585,638600
2006-12-07,19.585,19.715,19.41,19.42,692000
2006-12-08,19.38,19.52,19.28,19.38,645400
2006-12-11,19.325,19.49,19.325,19.425,656800
2006-12-12,19.385,19.5,19.29,19.405,1180000
2006-12-13,19.485,19.535,19.36,19.51,838400
2006-12-14,19.505,19.635,19.445,19.48,1287800
2006-12-15,19.45,19.56,19.34,19.4,1846000
2006-12-18,19.47,19.52,19.235,19.31,982600
2006-12-19,19.215,19.395,19.17,19.305,1085400
2006-12-20,19.24,19.47,19.23,19.275,1020400
2006-12-21,19.265,19.33,18.97,19.105,886400
2006-12-22,19.094999,19.105,18.97,19.01,512200
2006-12-26,18.965,19.23,18.955,19.19,533800
