date,open,high,low,close,volume
2006-10-18,30.86,31.37,30.62,31.3,11541100
2006-10-19,31.059999,31.35,30.38,30.5,6727500
2006-10-20,30.67,30.68,30.049999,30.25,9093100
2006-10-23,30.059999,30.94,30.049999,30.89,7212300
2006-10-24,30.61,31.0,30.35,30.45,5726700
2006-10-25,30.5,30.51,29.85,30.0,9989900
2006-10-26,30.0,30.72,29.87,30.64,10291400
2006-10-27,30.51,30.65,30.24,30.34,7999200
2006-10-30,30.46,30.53,30.17,30.29,7221400
2006-10-31,30.48,30.61,29.95,30.14,7986200
2006-11-01,30.16,30.25,29.57,29.62,9216600
2006-11-02,29.35,29.74,29.25,29.47,6827300
2006-11-03,29.47,29.77,28.8,29.049999,8850800
2006-11-06,28.69,29.2,28.59,28.82,12834400
2006-11-07,28.75,29.51,28.75,29.33,26306200
2006-11-08,29.33,29.67,29.13,29.52,9144100
2006-11-09,29.2,29.51,29.08,29.1,9251000
2006-11-10,29.2,29.35,28.85,29.17,5266700
2006-11-13,29.040001,29.49,28.99,29.0,7358000
2006-11-14,29.23,30.34,28.75,30.23,16943600
2006-11-15,30.4,31.19,30.4,30.54,13540400
2006-11-16,30.52,30.84,30.3,30.71,7403700
2006-11-17,30.54,30.66,30.19,30.48,8025500
2006-11-20,30.1,31.07,30.0,30.58,11690600
2006-11-21,30.5,30.86,30.35,30.68,5937300
2006-11-22,30.48,30.9,30.21,30.34,7120000
2006-11-24,30.15,30.36,30.0,30.0,2286100
2006-11-27,30.88,30.89,30.32,30.4,9432200
2006-11-28,30.19,30.38,29.87,29.92,11577800
2006-11-29,30.4,30.5,29.96,30.1,11325500
2006-11-30,30.1,30.28,29.75,30.16,9152500
2006-12-01,30.5,31.43,30.5,30.89,16432200
2006-12-04,30.8,31.09,30.6,30.79,7380600
2006-12-05,30.7,31.34,30.65,31.24,8598900
2006-12-06,31.25,31.9,31.25,31.64,10177800
2006-12-07,31.64,31.84,30.84,30.87,9089500
2006-12-08,30.88,31.38,30.74,30.81,7427100
2006-12-11,30.58,30.9,30.51,30.9,6634600
2006-12-12,30.85,30.95,30.54,30.63,7900700
2006-12-13,30.79,31.049999,30.47,30.55,7366600
2006-12-14,30.6,31.6,30.5,31.46,11025600
2006-12-15,31.78,31.98,31.34,31.41,10777100
2006-12-18,31.45,31.69,30.96,31.08,8216600
2006-12-19,30.81,31.0,30.36,30.94,8066900
2006-12-20,30.83,31.049999,30.37,30.51,5379700
2006-12-21,30.51,30.6,30.15,30.23,5665100
2006-12-22,30.3,30.59,30.21,30.43,3641200
2006-12-26,30.36,30.67,30.3,30.6,2753500
2006-12-27,30.62,31.34,30.62,31.2,6710400
2006-12-28,31.1,31.27,30.91,31.24,4790300
2006-12-29,31.1,31.48,30.94,31.15,7746100
2007-01-03,31.21,32.31,31.15,32.040001,14143200
2007-01-04,32.4,32.5,31.61,32.18,8351900
2007-01-05,32.16,32.41,31.59,31.79,8295600
2007-01-08,31.62,31.82,31.13,31.7,6423400
2007-01-09,31.76,32.049999,31.69,31.87,5053300
2007-01-10,31.71,32.59,31.7,32.47,8741800
2007-01-11,32.47,33.14,32.42,33.049999,8904600
2007-01-12,33.07,33.17,32.58,33.060001,7217000
2007-01-16,33.0,33.43,32.92,33.4,6380800
2007-01-17,33.39,33.52,33.15,33.2,6053300
2007-01-18,33.55,33.84,33.13,33.59,6968300
2007-01-19,33.9,33.95,33.51,33.71,6330200
2007-01-22,33.85,33.85,33.16,33.43,6427400
2007-01-23,33.51,33.81,33.25,33.64,7499500
2007-01-24,33.72,33.81,33.5,33.59,5662600
2007-01-25,33.52,33.59,32.9,33.080002,6752000
2007-01-26,33.049999,33.2,32.43,32.58,7389400
2007-01-29,32.79,32.96,32.54,32.67,5926000
2007-01-30,32.67,32.91,32.36,32.5,5820200
2007-01-31,32.57,33.95,32.5,33.71,11574400
2007-02-01,33.9,34.5,33.86,34.24,11452100
2007-02-02,34.39,34.65,34.02,34.15,5226900
2007-02-05,34.049999,34.32,33.96,34.11,4374800
2007-02-06,34.27,34.45,33.95,34.12,3922700
2007-02-07,33.56,34.39,33.56,34.07,3092500
2007-02-08,34.07,34.09,33.55,33.75,5425700
2007-02-09,33.78,34.060001,33.36,33.42,6205300
2007-02-12,33.51,33.88,33.47,33.5,4777700
2007-02-13,33.52,33.81,33.42,33.61,4379300
2007-02-14,33.56,33.63,33.17,33.44,7870700
2007-02-15,33.4,33.95,33.32,33.88,5196000
2007-02-16,33.77,33.8,33.13,33.27,6962900
2007-02-20,33.13,33.99,32.88,33.73,6556700
2007-02-21,33.5,33.85,33.42,33.73,4549300
