date,open,high,low,close,volume
2006-10-18,5.02,5.045,4.824,4.903,44417000
2006-10-19,4.879,4.997,4.841,4.978,33557000
2006-10-20,4.958,4.963,4.725,4.843,29646000
2006-10-23,4.85,5.044,4.845,4.982,39836000
2006-10-24,4.975,5.015,4.916,4.955,21416000
2006-10-25,4.972,5.135,4.968,5.101,34919000
2006-10-26,5.143,5.175,5.034,5.125,27688000
2006-10-27,5.12,5.122,4.858,4.874,32495000
2006-10-30,4.855,5.075,4.853,4.992,34837000
2006-10-31,5.028,5.028,4.897,4.945,29257000
2006-11-01,4.978,5.019,4.803,4.848,33453000
2006-11-02,4.806,4.925,4.765,4.829,25240000
2006-11-03,4.895,4.926,4.781,4.899,29517000
2006-11-06,4.901,5.047,4.901,4.964,22287000
2006-11-07,4.952,5.162,4.952,5.068,34424000
2006-11-08,5.036,5.111,4.989,5.014,29296000
2006-11-09,5.055,5.072,4.909,4.915,28080000
2006-11-10,4.925,5.012,4.9,5.01,21196000
2006-11-13,5.013,5.349,5.0050001,5.325,62995000
2006-11-14,5.281,5.518,5.185,5.504,71197000
2006-11-15,5.5,5.535,5.4,5.465,48126000
2006-11-16,5.467,5.469,5.293,5.443,48203000
2006-11-17,5.419,5.434,5.344,5.434,28339000
2006-11-20,5.443,5.705,5.405,5.66,46865000
2006-11-21,5.567,5.6,5.481,5.521,38512000
2006-11-22,5.551,5.6,5.487,5.575,19209000
2006-11-24,5.522,5.617,5.498,5.564,10137000
2006-11-27,5.533,5.548,5.3,5.308,34963000
2006-11-28,5.274,5.371,5.239,5.325,38282000
2006-11-29,5.399,5.414,5.162,5.266,45641000
2006-11-30,5.238,5.312,5.175,5.26,48585000
2006-12-01,5.219,5.289,5.055,5.159,47360000
2006-12-04,5.138,5.415,5.109,5.378,57763000
2006-12-05,5.392,5.458,5.344,5.378,34779000
2006-12-06,5.358,5.44,5.305,5.36,23600000
2006-12-07,5.367,5.429,5.261,5.313,31137000
2006-12-08,5.279,5.38,5.201,5.296,22916000
2006-12-11,5.308,5.402,5.261,5.31,16675000
2006-12-12,5.3,5.365,5.207,5.296,19572000
2006-12-13,5.334,5.347,5.158,5.177,29119000
2006-12-14,5.206,5.392,5.19,5.333,34748000
2006-12-15,5.358,5.414,5.271,5.334,35197000
2006-12-18,5.38,5.455,5.319,5.345,25157000
2006-12-19,5.294,5.295,5.097,5.129,40583000
2006-12-20,5.143,5.215,5.045,5.055,32899000
2006-12-21,5.06,5.106,4.958,5.0050001,26415000
2006-12-22,4.975,5.061,4.966,4.98,15276000
2006-12-26,4.968,5.049,4.965,5.014,10163000
2006-12-27,4.947,5.091,4.937,5.071,18076000
2006-12-28,5.084,5.139,5.038,5.122,21022000
2006-12-29,5.133,5.187,5.052,5.062,19783000
2007-01-03,5.095,5.148,4.862,4.946,44521000
2007-01-04,5.01,5.237,4.995,5.192,47929000
2007-01-05,5.157,5.185,5.055,5.185,32310000
2007-01-08,5.188,5.285,5.111,5.128,33635000
2007-01-09,5.185,5.185,5.038,5.118,35052000
2007-01-10,5.081,5.291,5.039,5.27,41623000
2007-01-11,5.26,5.395,5.26,5.35,32583000
2007-01-12,5.314,5.464,5.308,5.454,37991000
2007-01-16,5.382,5.444,5.26,5.325,36450000
2007-01-17,5.272,5.468,5.252,5.413,54007000
2007-01-18,4.855,4.894,4.589,4.622,184038000
2007-01-19,4.625,4.769,4.607,4.728,65304000
2007-01-22,4.768,4.772,4.675,4.69,45325000
2007-01-23,4.655,4.743,4.646,4.659,36186000
2007-01-24,4.68,4.816,4.68,4.802,31206000
2007-01-25,4.763,4.8,4.687,4.717,37951000
2007-01-26,4.724,4.848,4.701,4.739,44266000
2007-01-29,4.712,4.766,4.6,4.702,43809000
2007-01-30,4.7,4.7,4.603,4.637,37243000
2007-01-31,4.6,4.619,4.481,4.581,51010000
2007-02-01,4.584,4.612,4.505,4.53,44281000
2007-02-02,4.578,4.615,4.527,4.573,41532000
2007-02-05,4.617,4.66,4.55,4.64,46768000
2007-02-06,4.616,4.638,4.526,4.57,38374000
2007-02-07,4.625,4.708,4.58,4.625,35353000
2007-02-08,4.632,4.637,4.568,4.57,26598000
2007-02-09,4.585,4.622,4.366,4.401,74875000
2007-02-12,4.392,4.412,4.333,4.343,39009000
2007-02-13,4.375,4.421,4.355,4.405,33729000
2007-02-14,4.441,4.51,4.401,4.475,37070000
2007-02-15,4.461,4.558,4.461,4.514,27923000
2007-02-16,4.509,4.537,4.476,4.523,23183000
2007-02-20,4.429,4.449,4.364,4.412,37507000
2007-02-21,4.395,4.47,4.385,4.463,25980000
2007-02-22,4.5,4.57,4.451,4.496,29477000
2007-02-23,4.545,4.608,4.505,4.579,47668000
2007-02-26,4.738,4.77,4.629,4.653,43486000
2007-02-27,4.521,4.638,4.428,4.468,48069000
2007-02-28,4.499,4.54,4.427,4.466,35526000
2007-03-01,4.37,4.467,4.326,4.429,43999000
2007-03-02,4.415,4.456,4.343,4.35,28942000
2007-03-05,4.325,4.446,4.31,4.349,46792000
2007-03-06,4.38,4.41,4.346,4.375,34055000
2007-03-07,4.384,4.507,4.355,4.432,36326000
2007-03-08,4.53,4.616,4.513,4.519,35358000
2007-03-09,4.584,4.587,4.504,4.551,33587000
2007-03-12,4.555,4.64,4.547,4.627,27761000
2007-03-13,4.619,4.623,4.478,4.48,32173000
2007-03-14,4.475,4.561,4.433,4.545,30916000
2007-03-15,4.537,4.589,4.517,4.56,23881000
2007-03-16,4.542,4.574,4.476,4.554,32795000
2007-03-19,4.599,4.6,4.482,4.505,29702000
2007-03-20,4.506,4.568,4.475,4.568,23309000
2007-03-21,4.587,4.708,4.536,4.683,30549000
2007-03-22,4.699,4.706,4.643,4.669,21148000
2007-03-23,4.653,4.796,4.653,4.732,28354000
2007-03-26,4.753,4.816,4.724,4.808,29068000
2007-03-27,4.765,4.871,4.734,4.839,30791000
2007-03-28,4.808,4.9,4.79,4.818,35814000
2007-03-29,4.855,4.894,4.658,4.715,36763000
2007-03-30,4.735,4.794,4.69,4.734,32401000
2007-04-02,4.74,4.812,4.692,4.749,27932000
2007-04-03,4.769,4.829,4.691,4.793,31079000
2007-04-04,4.847,4.916,4.842,4.906,38972000
2007-04-05,4.905,4.949,4.89,4.94,21187000
2007-04-09,4.951,5.016,4.881,4.933,29805000
2007-04-10,4.93,5.073,4.897,5.051,41331000
2007-04-11,5.057,5.146,5.019,5.024,47865000
2007-04-12,5.098,5.189,5.082,5.098,82425000
2007-04-13,5.022,5.204,4.964,5.186,96061000
2007-04-16,5.235,5.24,5.127,5.239,35475000
