date,open,high,low,close,volume
2006-10-18,16.43,16.55,16.35,16.54,4371500
2006-10-19,16.37,16.37,15.9,16.02,7965700
2006-10-20,16.07,16.07,15.69,15.77,14390500
2006-10-23,15.77,15.9,15.46,15.64,8562800
2006-10-24,15.74,15.78,15.43,15.55,9751600
2006-10-25,15.55,15.6,15.15,15.25,7253300
2006-10-26,15.26,15.63,15.26,15.53,8492800
2006-10-27,15.45,15.5,15.25,15.27,5650600
2006-10-30,15.29,15.36,15.0,15.09,10018000
2006-10-31,15.18,15.21,14.94,15.03,10037400
2006-11-01,15.02,15.14,14.9,14.93,8733800
2006-11-02,14.94,15.0,14.65,14.75,9059500
2006-11-03,14.72,14.83,14.61,14.62,8414900
2006-11-06,14.69,15.02,14.67,14.94,9866600
2006-11-07,15.35,15.53,15.3,15.34,11653100
2006-11-08,15.27,15.35,14.96,15.3,8006900
2006-11-09,15.38,15.38,14.9,14.95,7067300
2006-11-10,15.0,15.33,15.0,15.22,7578100
2006-11-13,15.2,15.51,15.14,15.45,7427100
2006-11-14,15.46,15.6,15.18,15.24,10400500
2006-11-15,15.84,16.01,15.65,15.94,17353400
2006-11-16,15.9,16.09,15.5,15.96,13811900
2006-11-17,16.02,16.08,15.66,15.83,8087300
2006-11-20,15.83,15.95,15.67,15.71,6988200
2006-11-21,15.7,15.88,15.68,15.82,10073600
2006-11-22,15.92,16.049999,15.82,16.0,5337000
2006-11-24,15.97,16.33,15.86,16.25,4420800
2006-11-27,16.07,16.31,15.76,15.81,10451900
2006-11-28,15.76,15.88,15.63,15.78,7983300
2006-11-29,15.85,15.89,15.65,15.75,7702600
2006-11-30,15.68,15.81,15.6,15.71,5964600
2006-12-01,15.6,15.83,15.4,15.45,6106400
2006-12-04,15.55,15.71,15.51,15.7,5662700
2006-12-05,15.6,15.83,15.52,15.63,5536700
2006-12-06,15.85,15.85,15.47,15.51,5148700
2006-12-07,15.73,15.74,15.35,15.36,6312800
2006-12-08,15.33,15.6,15.2,15.6,6532600
2006-12-11,15.9,15.94,15.71,15.86,6839500
2006-12-12,15.76,15.81,15.47,15.51,9453200
2006-12-13,15.85,16.01,15.76,15.94,8622200
2006-12-14,15.85,15.9,15.55,15.75,9490000
2006-12-15,15.8,16.030001,15.75,15.89,8322900
2006-12-18,15.96,16.02,15.78,15.82,4771100
2006-12-19,15.82,15.95,15.63,15.85,5757100
2006-12-20,15.76,15.79,15.44,15.46,8811800
2006-12-21,15.53,15.62,15.25,15.33,5574600
2006-12-22,15.26,15.34,15.2,15.27,3104400
2006-12-26,15.24,15.35,15.18,15.29,3315900
2006-12-27,15.4,15.51,15.35,15.51,3504800
2006-12-28,15.54,15.63,15.4,15.51,3776400
2006-12-29,15.47,15.5,15.3,15.32,3601300
2007-01-03,15.46,15.78,15.35,15.52,7007400
2007-01-04,15.5,15.85,15.42,15.76,7568700
