date,open,high,low,close,volume
2006-10-18,20.19,20.2,19.87,19.88,1353800
2006-10-19,19.92,20.49,19.92,20.2,348400
2006-10-20,20.2,20.2,19.6,19.99,368000
2006-10-23,19.85,20.24,19.75,19.98,662300
2006-10-24,19.9,20.049999,19.76,19.83,224600
2006-10-25,19.83,20.38,19.81,19.89,331800
2006-10-26,20.049999,20.13,19.85,19.98,550200
2006-10-27,19.99,20.1,19.89,19.95,444400
2006-10-30,19.9,20.57,19.87,20.5,928700
2006-10-31,20.6,21.52,20.6,21.26,744400
2006-11-01,21.36,21.71,21.2,21.37,562700
2006-11-02,21.25,22.09,21.2,21.79,451600
2006-11-03,21.9,22.16,21.0,21.41,526500
2006-11-06,21.61,22.01,21.52,21.82,359800
2006-11-07,21.77,22.74,20.94,22.63,593600
2006-11-08,22.55,22.55,19.84,22.049999,858300
2006-11-09,22.059999,22.059999,21.24,21.47,443600
2006-11-10,21.47,21.83,21.28,21.72,283100
2006-11-13,21.6,21.61,21.27,21.59,343700
2006-11-14,21.59,22.35,21.4,22.08,477600
2006-11-15,22.14,22.66,21.28,21.9,341900
2006-11-16,22.01,22.3,21.74,22.08,204100
2006-11-17,22.059999,22.059999,21.6,21.9,207500
2006-11-20,21.93,22.1,21.59,21.96,197500
2006-11-21,21.97,21.97,21.7,21.9,278700
2006-11-22,21.9,21.96,21.52,21.67,287800
2006-11-24,21.68,21.8,21.51,21.62,84100
2006-11-27,21.45,21.6,20.53,20.86,304800
2006-11-28,20.73,20.95,20.53,20.68,227200
2006-11-29,21.049999,21.2,20.51,20.67,989300
2006-11-30,20.64,21.7,20.4,21.44,912100
2006-12-01,22.0,24.0,21.82,23.049999,1149300
2006-12-04,23.14,24.66,23.14,23.74,1215300
2006-12-05,23.84,23.92,23.39,23.64,665800
2006-12-06,23.5,24.030001,22.8,23.91,398000
2006-12-07,23.91,24.01,22.71,22.87,300000
2006-12-08,22.77,22.9,22.09,22.69,428800
2006-12-11,22.0,22.68,21.89,22.43,551500
2006-12-12,22.27,22.44,22.2,22.38,269500
2006-12-13,22.38,22.88,22.38,22.62,283200
2006-12-14,22.76,23.02,22.059999,22.18,679200
2006-12-15,22.15,22.86,21.72,21.8,960900
2006-12-18,21.85,22.07,21.58,21.79,579800
2006-12-19,21.6,22.26,21.23,22.040001,875500
