date,open,high,low,close,volume
2006-10-18,41.99,42.09,41.23,41.47,15383300
2006-10-19,41.43,41.47,40.0,40.77,20300800
2006-10-20,41.099998,41.47,40.78,41.47,12769900
2006-10-23,41.37,42.36,41.35,42.14,12637000
2006-10-24,41.9,42.46,41.84,42.25,11380200
2006-10-25,42.24,42.48,41.69,42.0,8889400
2006-10-26,41.92,42.15,41.61,42.11,6373100
2006-10-27,41.82,41.93,41.41,41.47,7309000
2006-10-30,41.48,41.96,41.22,41.92,8921300
2006-10-31,42.18,42.24,41.6,41.92,10009500
2006-11-01,42.15,42.15,41.76,41.86,6753600
2006-11-02,41.73,42.099998,41.62,42.049999,8055200
2006-11-03,42.049999,42.099998,41.21,41.24,7381900
2006-11-06,41.55,41.9,41.24,41.83,7915600
2006-11-07,41.83,42.080002,41.66,41.67,16560500
2006-11-08,41.62,42.25,41.35,42.029999,7647600
2006-11-09,42.029999,42.12,41.86,42.09,7620300
2006-11-10,42.099998,42.22,41.97,41.97,8642600
2006-11-13,41.2,41.6,40.85,41.51,10226300
2006-11-14,41.6,41.64,40.88,41.27,8263400
2006-11-15,41.18,41.7,40.99,41.099998,10242900
2006-11-16,41.3,41.79,41.060001,41.67,7781900
2006-11-17,41.67,41.82,41.28,41.82,6196800
2006-11-20,41.78,42.0,41.65,41.89,7821800
2006-11-21,41.98,42.25,41.91,42.060001,8403500
2006-11-22,42.060001,42.25,41.75,42.15,4708400
2006-11-24,41.87,42.26,41.67,41.88,1877600
2006-11-27,42.0,42.07,41.049999,41.099998,7251700
2006-11-28,41.0,41.47,40.79,41.4,6660800
2006-11-29,41.55,41.94,41.47,41.85,7239100
2006-11-30,41.94,42.12,41.55,41.97,6392200
2006-12-01,42.18,42.26,41.7,42.080002,6326900
2006-12-04,42.049999,42.67,42.0,42.5,5170900
2006-12-05,42.74,43.43,42.51,42.75,6714000
2006-12-06,42.95,43.0,42.54,42.96,5631500
2006-12-07,43.0,43.43,42.96,43.28,5775800
2006-12-08,43.52,43.89,43.25,43.76,7236300
2006-12-11,43.5,43.79,43.37,43.58,4611700
2006-12-12,43.49,43.58,42.81,43.040001,5350600
2006-12-13,43.2,43.68,43.15,43.59,5026700
2006-12-14,43.51,43.94,43.38,43.69,4642600
2006-12-15,43.69,43.95,43.12,43.41,7394700
2006-12-18,43.34,43.75,43.25,43.48,5196400
2006-12-19,43.48,44.0,43.24,43.99,5906800
2006-12-20,44.0,44.24,43.74,43.86,5868000
