date,open,high,low,close,volume
2006-10-18,16.585,16.63,15.785,15.9,7293400
2006-10-19,15.905,16.22,15.755,15.97,3986400
2006-10-20,15.91,16.12,15.84,16.014999,3380800
2006-10-23,16.025,16.41,15.98,16.030001,4887600
2006-10-24,15.99,16.014999,15.625,15.7,4117400
2006-10-25,15.63,15.99,15.535,15.78,8054200
2006-10-26,15.9,17.025,15.9,16.855,17024800
2006-10-27,16.755,16.875,16.19,16.205,8757200
2006-10-30,16.16,16.61,16.155,16.44,3499000
2006-10-31,16.585,16.59,16.365,16.465,3309400
2006-11-01,16.585,16.72,16.025,16.115,3708200
2006-11-02,16.01,16.255,15.91,15.91,3227200
2006-11-03,16.0,16.155,15.905,16.035,3642600
2006-11-06,16.17,16.55,16.059999,16.325,3961400
2006-11-07,16.275,16.75,16.24,16.505,3825000
2006-11-08,16.365,16.7,16.255,16.6,3270800
2006-11-09,16.615,16.68,16.33,16.365,4075600
2006-11-10,16.44,16.67,16.26,16.65,2424200
2006-11-13,16.6,17.0049992,16.6,17.0049992,4683800
2006-11-14,16.995,17.415,16.84,17.415,4288600
2006-11-15,17.42,17.64,17.26,17.39,5517000
2006-11-16,17.4,17.5,17.15,17.365,3179000
2006-11-17,17.35,17.415,17.14,17.325,2931800
2006-11-20,17.225,17.535,17.185,17.4,2787800
2006-11-21,17.43,17.5,17.13,17.25,3564400
2006-11-22,17.245,17.325,17.049999,17.315,2264200
2006-11-24,17.205,17.355,17.094999,17.315,960400
2006-11-27,17.315,17.335,16.775,16.85,3363600
2006-11-28,16.85,17.145,16.815,17.13,3638600
2006-11-29,17.23,17.25,16.68,16.955,4588400
2006-11-30,16.97,17.25,16.675,17.045,5095400
2006-12-01,17.195,17.215,16.76,17.07,3498400
2006-12-04,17.135,17.375,16.85,17.195,3734600
2006-12-05,17.215,17.33,17.049999,17.215,2321000
2006-12-06,17.14,17.145,16.895,17.014999,2522000
2006-12-07,17.15,17.2,16.8,16.915,3702400
2006-12-08,16.895,17.23,16.655,17.065001,3563600
2006-12-11,16.95,17.084999,16.83,16.915,2613400
2006-12-12,16.985,17.0,16.72,16.935,2661600
2006-12-13,17.08,17.09,16.75,16.77,2171800
2006-12-14,16.825,17.2,16.755,16.955,2453600
2006-12-15,17.025,17.275,16.915,17.094999,4337400
2006-12-18,17.1,17.165,16.675,16.745,3243600
2006-12-19,16.75,16.75,16.585,16.645,3415200
2006-12-20,16.735,16.995,16.66,16.8,2210600
2006-12-21,16.785,16.96,16.58,16.685,2416000
2006-12-22,16.79,16.885,16.365,16.365,3135600
2006-12-26,16.385,16.615,16.38,16.56,1571400
2006-12-27,16.68,16.82,16.505,16.505,2411800
2006-12-28,16.5,16.54,16.385,16.405,2208600
2006-12-29,16.42,16.615,16.315,16.35,2380400
2007-01-03,16.52,17.035,16.34,16.605,4556200
2007-01-04,16.64,16.945,16.435,16.86,3437200
2007-01-05,16.94,16.96,16.55,16.765,4021800
2007-01-08,16.825,17.225,16.78,17.014999,4499600
2007-01-09,17.0,17.43,16.985,17.3,4527600
2007-01-10,17.17,17.645,17.075001,17.575,3195000
2007-01-11,17.65,18.1,17.605,17.935,5431400
