date,open,high,low,close,volume
2006-10-18,50.66,51.0,50.25,50.41,1618400
2006-10-19,50.41,51.23,50.14,51.099998,1452400
2006-10-20,51.43,51.5,50.9,51.37,1382200
2006-10-23,51.099998,51.82,50.82,51.82,953300
2006-10-24,51.72,52.2,51.19,52.12,1667800
2006-10-25,52.12,52.43,50.85,51.080002,1527700
2006-10-26,51.0099983,51.060001,50.12,50.14,1541400
2006-10-27,50.099998,51.17,49.74,50.9,1372100
2006-10-30,50.85,51.19,50.57,50.69,1089800
2006-10-31,50.85,50.88,49.79,50.09,1935500
2006-11-01,51.25,51.88,48.8,48.99,5683600
2006-11-02,49.0,50.27,48.74,49.65,2466500
2006-11-03,49.72,49.9,48.51,48.52,1703200
2006-11-06,48.61,49.85,48.49,49.69,1914300
2006-11-07,49.89,51.2,49.8,50.77,2544900
2006-11-08,50.45,50.8,49.89,50.42,2844800
2006-11-09,50.42,50.85,49.88,49.97,2013500
2006-11-10,50.099998,50.5,49.34,49.41,1702700
2006-11-13,49.27,50.080002,49.22,49.99,1486200
2006-11-14,50.099998,50.97,49.41,49.95,2280100
2006-11-15,50.11,50.6,49.6,50.0,2233500
2006-11-16,50.099998,50.98,50.049999,50.72,1521600
2006-11-17,50.25,50.36,49.54,49.55,1579400
2006-11-20,49.5,49.74,48.81,49.15,1100200
2006-11-21,49.099998,49.16,47.38,48.0,3065400
2006-11-22,48.17,48.8,47.93,48.54,1279200
2006-11-24,48.91,49.36,48.15,48.18,740700
2006-11-27,47.88,48.39,47.59,48.32,2296200
2006-11-28,48.25,48.75,48.099998,48.5,3448900
2006-11-29,48.69,49.11,48.4,48.95,1721500
2006-11-30,49.35,49.59,49.13,49.4,2094700
2006-12-01,49.51,49.53,48.93,49.23,1906000
2006-12-04,49.52,49.54,49.07,49.33,1153400
2006-12-05,49.25,49.31,48.82,49.11,1659500
2006-12-06,48.91,50.0,48.43,50.0,2907600
2006-12-07,50.0,50.61,49.18,49.41,1541700
2006-12-08,49.31,49.41,48.6,48.96,931800
2006-12-11,49.040001,50.35,48.99,50.15,2281600
2006-12-12,50.15,50.93,50.11,50.59,2361000
2006-12-13,50.92,51.18,50.52,50.88,2101000
2006-12-14,50.68,51.45,50.44,51.33,2973300
2006-12-15,51.32,51.38,50.53,51.18,2384800
2006-12-18,51.18,51.24,50.6,51.13,1481500
2006-12-19,50.9,50.93,50.47,50.76,1410100
2006-12-20,50.55,51.13,50.099998,51.099998,1472500
2006-12-21,51.060001,51.27,50.73,50.96,1255200
2006-12-22,51.0,51.19,50.65,50.72,1174900
2006-12-26,50.55,51.029999,50.35,50.95,498700
2006-12-27,51.0,51.15,50.69,51.02,815700
2006-12-28,51.029999,51.14,50.49,50.83,734100
2006-12-29,50.7,51.040001,50.6,50.7,704500
2007-01-03,50.86,51.84,50.8,51.43,2186700
2007-01-04,51.35,51.6,51.15,51.3,1842900
2007-01-05,51.3,51.68,51.049999,51.31,2034600
2007-01-08,51.21,51.89,50.82,51.66,2231700
2007-01-09,51.67,51.87,51.0099983,51.13,2117700
2007-01-10,52.0,52.47,51.65,51.85,2484100
2007-01-11,52.099998,52.94,51.91,52.63,2250700
2007-01-12,52.73,54.46,52.4,54.42,4273500
2007-01-16,54.27,54.74,54.18,54.71,2483400
2007-01-17,54.75,55.66,54.59,55.32,3067900
2007-01-18,55.2,55.4,54.76,55.18,2138900
2007-01-19,55.45,55.45,54.86,55.13,2061400
2007-01-22,54.97,55.23,53.57,54.33,2647800
2007-01-23,54.25,54.53,54.14,54.46,1435100
2007-01-24,54.35,55.5,54.11,55.17,3465900
2007-01-25,55.5,56.66,55.33,55.37,3524700
2007-01-26,56.7,56.93,55.4,55.94,3510000
2007-01-29,55.45,55.93,55.029999,55.58,2317000
2007-01-30,56.48,56.48,55.24,55.5,2013000
2007-01-31,55.5,55.84,55.29,55.75,1854300
2007-02-01,55.74,56.16,55.6,55.99,2098400
2007-02-02,56.44,56.45,55.61,55.77,1897000
2007-02-05,55.77,56.38,55.77,56.02,1621300
2007-02-06,55.77,56.11,55.46,55.81,3122300
2007-02-07,55.8,56.0,55.54,55.57,983600
2007-02-08,55.4,55.86,55.060001,55.65,1801800
2007-02-09,55.8,56.07,55.55,55.71,1341800
2007-02-12,55.41,55.95,55.4,55.61,1526200
2007-02-13,55.84,56.45,55.67,56.21,1202400
2007-02-14,56.48,56.9,56.19,56.31,1417400
2007-02-15,56.74,56.99,56.61,56.95,1378300
2007-02-16,56.98,57.3,56.68,57.22,1737100
2007-02-20,57.15,57.58,57.13,57.48,1633300
2007-02-21,57.28,57.61,57.14,57.44,1015400
2007-02-22,57.45,57.73,57.080002,57.19,1150400
2007-02-23,57.26,57.57,56.76,57.39,1185400
2007-02-26,57.4,58.07,57.12,57.13,2014900
2007-02-27,57.099998,57.15,55.11,56.060001,1763900
2007-02-28,56.0,56.55,55.57,55.72,2405200
2007-03-01,56.66,56.66,54.67,55.36,2345700
2007-03-02,55.11,55.39,54.51,54.65,1832400
2007-03-05,55.27,55.27,53.99,54.0099983,1355900
2007-03-06,54.14,55.09,54.0,55.09,2743800
2007-03-07,54.8,55.59,54.66,55.11,1400000
2007-03-08,55.33,56.0,55.29,55.88,1832200
2007-03-09,56.12,56.32,55.87,56.07,1350800
