date,open,high,low,close,volume
2006-10-18,63.35,63.84,62.76,63.67,860600
2006-10-19,64.15,66.67,64.15,65.57,2070500
2006-10-20,66.0,66.44,64.72,65.17,1325000
2006-10-23,64.65,66.25,64.64,66.13,946300
2006-10-24,65.64,65.87,64.32,64.43,1209200
2006-10-25,66.099998,66.11,64.059998,65.12,1423900
2006-10-26,65.16,66.83,65.16,66.45,1279600
2006-10-27,66.6,66.98,65.88,65.92,785700
2006-10-30,65.88,66.4,65.42,65.7,868300
2006-10-31,66.26,67.15,65.88,66.3,1893000
2006-11-01,66.16,66.33,65.48,65.9,1657000
2006-11-02,65.9,66.010002,65.27,65.55,1093900
2006-11-03,65.9,66.31,65.58,65.78,955400
2006-11-06,65.97,66.6,65.85,66.059998,755200
2006-11-07,66.0,66.49,65.71,66.019997,818200
2006-11-08,66.0,66.14,65.65,66.07,1043300
2006-11-09,66.14,66.84,65.85,66.17,1084800
2006-11-10,65.9,66.45,65.36,66.24,773300
2006-11-13,66.24,68.0,66.089996,67.97,1258200
2006-11-14,68.0,68.6,67.24,68.54,1169700
2006-11-15,68.75,69.65,68.44,68.79,1482300
2006-11-16,69.15,69.61,68.98,69.3,873400
2006-11-17,69.11,69.51,68.77,68.88,653000
2006-11-20,69.029999,69.94,68.58,69.74,1322400
2006-11-21,69.99,70.0,69.34,69.43,843500
2006-11-22,69.55,70.0,69.48,69.94,563900
2006-11-24,69.85,70.050003,69.51,69.73,237500
2006-11-27,69.45,69.54,67.29,67.76,1496500
2006-11-28,67.25,68.65,67.25,68.5,1852000
2006-11-29,68.57,69.38,68.14,69.28,1500400
2006-11-30,69.44,70.089996,68.82,69.48,2045500
2006-12-01,70.26,70.26,68.81,69.3,1103300
2006-12-04,69.54,70.23,69.35,70.13,912900
2006-12-05,70.12,70.35,69.46,70.19,857600
2006-12-06,70.2,71.7,70.2,71.49,1777600
2006-12-07,71.47,71.5,69.82,70.010002,902100
2006-12-08,70.099998,70.5,69.35,69.46,922800
2006-12-11,69.46,70.24,69.45,69.65,791100
2006-12-12,69.75,70.5,69.5,69.58,934500
2006-12-13,70.099998,70.68,69.96,70.28,735800
2006-12-14,70.39,70.98,69.79,70.12,695000
2006-12-15,70.23,70.62,69.24,69.82,992100
2006-12-18,68.82,70.029999,68.82,69.69,1122500
2006-12-19,69.59,69.98,69.5,69.9,935600
2006-12-20,69.9,70.51,69.64,70.36,768400
2006-12-21,70.55,71.36,70.17,70.47,993500
2006-12-22,70.5,70.95,70.080002,70.080002,1233500
2006-12-26,70.07,70.49,69.96,70.32,373200
2006-12-27,70.74,70.95,69.89,70.040001,562500
2006-12-28,69.69,70.36,69.51,70.050003,576100
2006-12-29,70.0,70.099998,68.84,69.059998,703600
2007-01-03,69.0,71.79,69.0,70.32,1854800
2007-01-04,70.33,70.51,69.45,69.81,1154700
2007-01-05,69.35,69.42,68.76,68.78,947800
2007-01-08,68.77,69.14,68.25,68.76,745400
2007-01-09,68.79,68.99,67.72,68.2,1068500
2007-01-10,67.95,69.2,67.54,68.92,843500
2007-01-11,69.15,69.93,68.71,69.79,783200
2007-01-12,69.51,69.83,68.67,69.37,795900
2007-01-16,69.15,69.57,68.79,69.36,860400
2007-01-17,69.32,70.68,68.81,70.54,1425900
2007-01-18,70.2,71.099998,69.81,70.68,2126500
2007-01-19,70.74,71.46,70.73,71.34,1034200
2007-01-22,71.21,71.92,70.91,71.75,1271100
2007-01-23,71.6,72.6,71.5,72.36,1434000
2007-01-24,72.21,72.5,71.83,72.38,683000
2007-01-25,72.5,72.6,71.53,71.82,1203800
2007-01-26,71.91,72.36,70.38,70.75,1015000
2007-01-29,70.84,71.73,70.71,71.24,1065000
2007-01-30,71.23,71.5,70.5,70.6,805200
2007-01-31,70.55,71.93,70.42,71.56,955700
2007-02-01,71.95,72.65,71.85,72.61,1126300
2007-02-02,72.61,72.91,72.33,72.47,733900
