date,open,high,low,close,volume
2006-10-18,35.7,35.82,35.59,35.64,2180500
2006-10-19,35.4,35.78,35.21,35.68,2734700
2006-10-20,35.53,35.6,35.33,35.49,2045100
2006-10-23,35.57,36.41,35.56,36.3,4988400
2006-10-24,35.049999,35.6,33.75,35.36,10117900
2006-10-25,35.23,35.61,34.45,35.34,9263900
2006-10-26,35.29,35.3,34.4,34.49,3711000
2006-10-27,34.35,34.82,34.28,34.6,2788400
2006-10-30,34.42,34.74,34.37,34.71,1362300
2006-10-31,34.6,34.74,34.32,34.4,2062000
2006-11-01,34.45,34.73,34.3,34.36,2523700
2006-11-02,34.36,34.41,34.12,34.41,2208700
2006-11-03,34.52,34.57,33.92,33.96,3663400
2006-11-06,34.099998,34.19,33.92,34.14,2379200
2006-11-07,34.14,34.56,34.080002,34.38,2154800
2006-11-08,33.48,34.53,33.48,34.36,3116600
2006-11-09,34.36,34.6,34.09,34.15,1334800
2006-11-10,34.24,34.45,34.13,34.25,1277800
2006-11-13,34.41,34.85,34.2,34.8,2599600
2006-11-14,34.8,35.24,34.68,35.24,2689000
2006-11-15,35.24,35.45,35.080002,35.31,2812800
2006-11-16,35.49,35.72,35.21,35.6,2411800
2006-11-17,35.4,35.55,35.22,35.45,2254100
2006-11-20,35.25,35.7,35.25,35.55,1464300
2006-11-21,35.37,35.54,35.040001,35.040001,1764200
2006-11-22,34.94,35.43,34.86,35.32,1773300
2006-11-24,35.33,35.82,35.13,35.18,1133400
2006-11-27,35.25,35.26,34.43,34.55,3603800
2006-11-28,34.3,35.4,34.3,34.38,2306700
2006-11-29,34.6,34.97,34.45,34.82,2271900
2006-11-30,34.64,35.16,34.64,35.049999,1951700
2006-12-01,35.15,35.36,34.8,35.09,1776600
2006-12-04,35.17,35.3,34.92,35.23,1556400
2006-12-05,35.3,35.47,35.12,35.24,1888400
2006-12-06,35.18,35.35,34.97,34.99,1639500
2006-12-07,35.07,35.24,34.4,34.54,2737600
2006-12-08,34.6,35.099998,34.48,35.0,1479100
2006-12-11,35.0099983,35.21,34.81,34.95,1588300
2006-12-12,35.07,35.6,35.0,35.54,1809900
2006-12-13,35.54,35.74,35.2,35.24,1765800
2006-12-14,35.21,35.8,35.21,35.57,2075900
2006-12-15,35.66,35.94,35.52,35.71,2156400
