date,open,high,low,close,volume
2006-10-18,48.65,48.86,47.91,48.099998,6807800
2006-10-19,47.8,48.12,47.59,48.080002,5287100
2006-10-20,48.3,48.83,47.95,48.44,5304000
2006-10-23,48.22,48.68,48.099998,48.52,4144300
2006-10-24,48.95,49.38,48.73,49.02,8530800
2006-10-25,49.22,49.25,48.64,48.99,4555700
2006-10-26,48.92,48.98,48.6,48.76,3552700
2006-10-27,48.65,48.9,48.57,48.67,3130700
2006-10-30,48.79,49.16,48.62,48.7,2767100
2006-10-31,48.63,48.81,48.42,48.68,3832000
2006-11-01,48.72,48.91,48.5,48.66,4595700
2006-11-02,48.44,48.93,48.44,48.92,3807500
2006-11-03,49.0,49.2,48.86,49.0099983,4558400
2006-11-06,49.040001,49.62,49.0,49.59,4485400
2006-11-07,49.84,50.080002,49.5,49.51,3708100
2006-11-08,49.37,49.54,49.049999,49.45,3976900
2006-11-09,49.36,49.85,48.88,49.02,5704600
2006-11-10,48.97,49.25,48.84,48.96,2884000
2006-11-13,49.0099983,49.35,48.86,48.9,2341700
2006-11-14,48.51,49.23,48.26,48.96,5114300
2006-11-15,48.97,49.23,48.2,48.33,6486200
2006-11-16,48.21,49.09,48.21,48.81,7137200
2006-11-17,48.83,48.83,48.049999,48.71,8795800
2006-11-20,48.85,49.23,48.63,48.95,6866300
2006-11-21,52.5,53.86,52.29,53.55,27688500
2006-11-22,53.0,54.18,52.95,53.87,7112100
2006-11-24,53.47,53.57,53.26,53.45,1449200
2006-11-27,53.029999,53.080002,52.19,52.82,7091200
2006-11-28,52.51,52.99,52.46,52.65,5789200
2006-11-29,52.56,52.96,52.28,52.73,3847800
2006-11-30,52.68,52.82,52.07,52.13,5016000
2006-12-01,51.72,52.58,51.4,52.16,5872200
2006-12-04,52.33,53.51,52.11,53.35,6010600
2006-12-05,53.0,53.55,52.81,53.099998,5450400
2006-12-06,53.099998,53.72,53.0,53.58,3752700
2006-12-07,53.58,53.87,53.24,53.53,6719400
